,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Mookie Betts RF,4,0,1,0,0,1,4,.265,.340,.523,.864,13,8,-0.055, 0.60,0.002,-0.057%,-0.02%, 0.30, -0.8,1,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
   Zach McKinstry RF,1,0,0,0,0,1,1,.125,.125,.500,.625,5,3,0.000, 0.01,0.000,0.000%,0%, 0.01, -0.1,1,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Trea Turner SS,4,2,2,3,0,1,4,.306,.354,.493,.847,19,12,0.256, 0.49,0.261,-0.005%, 0.08%, 0.25, 2.2,1,3,2·HR,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
   Hanser Alberto 2B,0,0,0,0,0,0,0,.227,.236,.364,.600,,,,,,,,,,0,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Freddie Freeman 1B,4,2,2,1,0,0,4,.321,.397,.530,.926,14,11,0.027, 0.28,0.042,-0.015%, 0.01%, 0.14, 1.1,9,0,"HR,2B",77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Will Smith C,4,0,0,0,0,2,4,.272,.364,.478,.842,18,12,-0.034, 0.31,0.000,-0.034%,-0.01%, 0.15, -0.8,11,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Justin Turner DH,2,1,0,0,2,0,4,.256,.330,.403,.734,19,10,0.036, 0.42,0.038,-0.003%, 0.01%, 0.21, 0.1,,,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Max Muncy 3B,4,1,1,3,0,2,4,.164,.320,.319,.639,21,14,0.109, 0.60,0.142,-0.033%, 0.03%, 0.30, 2.0,0,3,HR,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Trayce Thompson LF,2,0,0,0,0,2,2,.221,.293,.368,.661,7,7,-0.029, 0.59,0.000,-0.029%,-0.01%, 0.30, -0.4,0,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
   Jake Lamb PH-LF,1,0,0,0,1,1,2,.233,.361,.533,.894,11,6,0.002, 0.04,0.002,-0.001%,0%, 0.02, 0.3,0,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Cody Bellinger CF,4,0,1,0,0,1,4,.210,.270,.377,.647,25,17,-0.024, 0.26,0.003,-0.027%,-0.01%, 0.13, -0.1,3,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Gavin Lux 2B-SS,3,1,0,0,1,0,4,.292,.369,.415,.785,20,10,0.025, 0.31,0.034,-0.009%, 0.01%, 0.16, -1.2,1,2,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
Julio Urias P,,,,,,,,,,,,,,,,,,,,,0,1,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
   Caleb Ferguson P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
   Phil Bickford P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 10mph from Right to Left, Sunny, No Precipitation.
