IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 8.1,4,0,0,1,10,0,3.13,29,108,75,41,14,20,11,7,2,0,84,,,0.307, 0.59, 0.18%, 0.57, 3.6,72° F, Wind 0mph, In Dome.
 0.2,0,0,0,0,1,0,4.39,2,8,6,3,2,1,1,0,0,0,,2,0,0.042, 0.89, 0.03%, 0.85, 0.9,72° F, Wind 0mph, In Dome.
