,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Kyle Gibson, W (5-3)", 6 ,4,1,1,1,5,0,4.35,23,96,61,43,7,11,6,11,5,0,64,,,0.172, 0.79, 0.10%, 0.77, 2.0,72° F, Wind 0mph, In Dome.
"Jose Alvarado, H (8)", 1 ,0,0,0,0,3,0,4.50,3,17,10,4,4,2,0,0,0,0,,0,0,0.108, 1.42, 0.06%, 1.39, 0.5,72° F, Wind 0mph, In Dome.
"Brad Hand, H (10)", 1 ,0,0,0,0,1,0,2.17,3,19,10,4,0,6,1,1,0,0,,0,0,0.142, 1.86, 0.08%, 1.83, 0.5,72° F, Wind 0mph, In Dome.
"Seranthony Dominguez, S (4)", 1 ,0,0,0,3,1,0,1.85,6,33,18,10,5,3,1,1,1,0,,0,0,0.200, 6.22, 0.12%, 6.10, 0.5,72° F, Wind 0mph, In Dome.
