,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Kyle Gibson, W (6-4)", 6 ,4,2,2,2,4,1,4.60,24,96,62,37,9,16,10,8,3,0,58,,,0.240, 0.88, 0.14%, 0.82, 1.0,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Connor Brogdon, 1 ,0,0,0,0,2,0,2.14,3,14,9,3,2,4,1,0,0,0,,0,0,0.017, 0.22, 0.01%, 0.21, 0.5,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Brad Hand, 1 ,0,0,0,1,0,0,2.05,4,16,11,7,2,2,2,1,1,0,,0,0,0.012, 0.16, 0.01%, 0.15, 0.5,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Andrew Bellatti, 1 ,1,0,0,0,1,0,3.24,4,19,13,8,2,3,0,3,1,0,,0,0,0.006, 0.07, 0.00%, 0.07, 0.5,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
