,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Ranger Suarez, W (7-5)", 5 ,4,0,0,0,4,0,4.07,18,64,46,26,10,10,6,8,6,0,63,,,0.282, 0.91, 0.17%, 0.92, 2.5,72° F, Wind 0mph, In Dome.
Andrew Bellatti, 1 ,1,0,0,0,3,0,3.52,4,21,13,6,5,2,0,1,1,0,,0,0,0.024, 0.32, 0.01%, 0.32, 0.5,72° F, Wind 0mph, In Dome.
Connor Brogdon, 1 ,0,0,0,0,0,0,1.93,3,7,5,3,1,1,0,3,1,0,,0,0,0.020, 0.26, 0.01%, 0.26, 0.5,72° F, Wind 0mph, In Dome.
Nick Nelson, 1 ,0,0,0,0,1,0,4.09,3,12,7,4,2,1,0,2,1,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,72° F, Wind 0mph, In Dome.
JoJo Romero, 1 ,0,0,0,0,1,0,0.00,3,12,7,3,1,3,2,0,0,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,72° F, Wind 0mph, In Dome.
