,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jayson Tatum,44:25,10.0,20.0,50.0,5.0,9.0,55.6,2.0,6.0,33.3,0.0,10.0,10.0,4.0,0.0,0.0,4.0,3.0,27.0,-13.0,06/13/2022,46.0
Al Horford,32:51,3.0,6.0,50.0,2.0,3.0,66.7,1.0,2.0,50.0,1.0,8.0,9.0,1.0,0.0,0.0,2.0,1.0,9.0,-19.0,06/13/2022,21.75
Robert Williams III,30:14,4.0,5.0,80.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,5.0,8.0,2.0,0.0,0.0,0.0,2.0,10.0,11.0,06/13/2022,23.0
Jaylen Brown,44:03,5.0,18.0,27.8,0.0,5.0,0.0,8.0,10.0,80.0,3.0,6.0,9.0,4.0,1.0,0.0,5.0,2.0,18.0,-19.0,06/13/2022,34.75
Marcus Smart,39:42,7.0,15.0,46.7,3.0,6.0,50.0,3.0,4.0,75.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,20.0,-9.0,06/13/2022,26.25
Derrick White,21:25,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,-13.0,06/13/2022,8.75
Grant Williams,16:04,1.0,2.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,3.0,-18.0,06/13/2022,11.25
Payton Pritchard,4:41,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,06/13/2022,0.75
Juwan Morgan,1:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,06/13/2022,1.25
Sam Hauser,1:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,06/13/2022,1.5
Nik Stauskas,1:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,06/13/2022,0.0
Luke Kornet,1:19,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,06/13/2022,4.75
Aaron Nesmith,1:19,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,06/13/2022,4.25
