,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jayson Tatum,34:18,8.0,19.0,42.1,6.0,9.0,66.7,6.0,8.0,75.0,1.0,5.0,6.0,3.0,1.0,0.0,4.0,2.0,28.0,-36.0,06/05/2022,43.0
Al Horford,27:38,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,1.0,2.0,2.0,2.0,-15.0,06/05/2022,14.5
Robert Williams III,14:02,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,-6.0,06/05/2022,10.0
Jaylen Brown,27:37,5.0,17.0,29.4,3.0,9.0,33.3,4.0,5.0,80.0,0.0,6.0,6.0,3.0,0.0,0.0,2.0,3.0,17.0,-10.0,06/05/2022,29.5
Marcus Smart,25:08,1.0,6.0,16.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,5.0,4.0,2.0,-12.0,06/05/2022,11.5
Grant Williams,20:54,2.0,2.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,-13.0,06/05/2022,11.25
Derrick White,30:15,4.0,13.0,30.8,2.0,4.0,50.0,2.0,2.0,100.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,12.0,-17.0,06/05/2022,25.5
Daniel Theis,14:25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,-7.0,06/05/2022,9.25
Payton Pritchard,18:35,2.0,7.0,28.6,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,4.0,-7.0,06/05/2022,13.5
Aaron Nesmith,10:45,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,10.0,06/05/2022,11.5
Sam Hauser,5:38,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,06/05/2022,5.0
Nik Stauskas,3:35,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,06/05/2022,8.75
Luke Kornet,3:35,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,06/05/2022,3.5
Malik Fitts,3:35,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,06/05/2022,3.5
