,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jayson Tatum,44:26,7.0,20.0,35.0,2.0,8.0,25.0,6.0,8.0,75.0,2.0,10.0,12.0,9.0,0.0,0.0,5.0,3.0,22.0,17.0,05/25/2022,49.0
Al Horford,39:19,5.0,8.0,62.5,1.0,3.0,33.3,5.0,7.0,71.4,0.0,7.0,7.0,5.0,1.0,2.0,1.0,0.0,16.0,13.0,05/25/2022,38.25
Robert Williams III,26:48,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,7.0,10.0,0.0,1.0,3.0,0.0,1.0,6.0,9.0,05/25/2022,26.5
Jaylen Brown,39:49,10.0,19.0,52.6,5.0,9.0,55.6,0.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,25.0,20.0,05/25/2022,36.0
Marcus Smart,23:42,1.0,5.0,20.0,1.0,3.0,33.3,2.0,2.0,100.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,4.0,5.0,13.0,05/25/2022,17.25
Derrick White,29:09,6.0,8.0,75.0,0.0,2.0,0.0,2.0,3.0,66.7,0.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,14.0,8.0,05/25/2022,27.25
Grant Williams,23:02,2.0,5.0,40.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,05/25/2022,12.5
Payton Pritchard,6:05,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/25/2022,1.25
Juwan Morgan,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/25/2022,0.0
Nik Stauskas,1:32,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/25/2022,0.0
Aaron Nesmith,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/25/2022,0.0
Luke Kornet,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/25/2022,0.0
Malik Fitts,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/25/2022,0.0
