,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jayson Tatum,42:34,10.0,20.0,50.0,5.0,10.0,50.0,4.0,5.0,80.0,1.0,2.0,3.0,8.0,3.0,1.0,4.0,3.0,29.0,21.0,05/03/2022,53.25
Al Horford,37:05,4.0,9.0,44.4,1.0,5.0,20.0,2.0,2.0,100.0,0.0,11.0,11.0,3.0,4.0,1.0,1.0,5.0,11.0,14.0,05/03/2022,39.25
Robert Williams III,25:14,4.0,5.0,80.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,5.0,10.0,12.0,05/03/2022,20.0
Jaylen Brown,38:13,11.0,18.0,61.1,6.0,10.0,60.0,2.0,2.0,100.0,2.0,4.0,6.0,6.0,2.0,1.0,2.0,1.0,30.0,16.0,05/03/2022,54.5
Derrick White,28:27,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,0.0,2.0,5.0,0.0,22.0,05/03/2022,13.5
Grant Williams,35:25,7.0,14.0,50.0,6.0,9.0,66.7,1.0,2.0,50.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,21.0,22.0,05/03/2022,33.25
Payton Pritchard,23:42,2.0,6.0,33.3,2.0,4.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,6.0,-2.0,05/03/2022,14.75
Malik Fitts,1:52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05/03/2022,1.25
Nik Stauskas,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05/03/2022,0.0
Aaron Nesmith,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05/03/2022,1.25
Sam Hauser,1:52,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,05/03/2022,3.25
Luke Kornet,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,05/03/2022,1.25
