,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jayson Tatum,31:32,8.0,13.0,61.5,4.0,6.0,66.7,7.0,7.0,100.0,0.0,5.0,5.0,5.0,1.0,0.0,3.0,2.0,27.0,13.0,05/19/2022,43.25
Al Horford,32:37,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,10.0,16.0,05/19/2022,21.75
Robert Williams III,19:51,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,3.0,5.0,13.0,05/19/2022,17.5
Jaylen Brown,33:16,9.0,17.0,52.9,4.0,7.0,57.1,2.0,2.0,100.0,2.0,6.0,8.0,3.0,0.0,0.0,1.0,4.0,24.0,13.0,05/19/2022,40.0
Marcus Smart,40:18,8.0,22.0,36.4,5.0,12.0,41.7,3.0,3.0,100.0,2.0,7.0,9.0,12.0,3.0,1.0,1.0,1.0,24.0,31.0,05/19/2022,63.25
Grant Williams,32:12,5.0,7.0,71.4,2.0,2.0,100.0,7.0,8.0,87.5,1.0,3.0,4.0,0.0,1.0,0.0,0.0,5.0,19.0,37.0,05/19/2022,27.0
Payton Pritchard,23:07,4.0,8.0,50.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,10.0,39.0,05/19/2022,18.5
Aaron Nesmith,6:32,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-9.0,05/19/2022,1.25
Daniel Theis,6:18,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-7.0,05/19/2022,4.75
Nik Stauskas,4:23,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,-3.0,05/19/2022,7.75
Luke Kornet,4:57,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,05/19/2022,4.5
Juwan Morgan,4:57,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-9.0,05/19/2022,2.25
