,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Charlie Morton, L (5-4)", 5 ,6,5,5,3,6,3,4.45,24,107,62,37,9,16,5,10,3,0,38,,,-0.220, 0.55,-0.22%, 0.92, -2.7,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Jesse Chavez, 2 ,2,2,1,0,2,0,2.97,9,38,28,18,4,6,3,4,2,0,,1,0,-0.024, 0.28,-0.02%, 0.47, -0.5,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Kenley Jansen, 1 ,0,0,0,0,0,0,3.48,3,9,6,6,0,0,1,2,1,0,,0,0,0.002, 0.03, 0.00%, 0.05, 0.5,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Jackson Stephens, 1 ,0,0,0,0,2,0,3.03,3,14,10,6,2,2,0,1,0,0,,0,0,0.002, 0.02, 0.00%, 0.04, 0.5,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
