,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Spencer Strider, L (4-3)", 4 ,4,5,5,2,4,1,3.03,18,77,50,29,9,12,7,5,1,0,36,,,-0.322, 0.88,-0.21%, 0.95, -3.1,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Dylan Lee, 2 ,2,1,1,0,3,0,1.50,8,27,17,9,3,5,2,3,1,0,,0,0,-0.018, 0.53,-0.01%, 0.56, -0.0,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Tyler Matzek, 2 ,1,1,1,0,0,1,3.38,7,19,14,9,1,4,2,5,1,0,,0,0,0.000, 0.09, 0.00%, 0.10, -0.0,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
