IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 4.2,5,1,1,3,8,0,2.56,22,103,61,38,8,15,4,7,5,0,55,,,0.090, 1.15, 0.08%, 1.80, 1.2,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
 1.1,0,0,0,0,2,0,3.24,4,17,10,5,2,3,1,1,0,0,,2,0,0.114, 1.05, 0.11%, 1.65, 1.1,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
 2 ,0,0,0,1,2,0,3.15,7,31,20,11,4,5,2,2,0,0,,0,0,0.146, 0.89, 0.14%, 1.40, 1.1,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
 1 ,0,0,0,0,1,0,1.66,3,14,10,7,1,2,2,0,0,0,,0,0,0.037, 0.47, 0.03%, 0.74, 0.5,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
