,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Anthony Edwards,18:24,3.0,8.0,37.5,0.0,4.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,-12.0,04/10/2022,11.0
Jarred Vanderbilt,14:14,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,-14.0,04/10/2022,4.25
Naz Reid,21:21,6.0,10.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,2.0,4.0,14.0,-16.0,04/10/2022,24.25
Malik Beasley,15:57,3.0,9.0,33.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,-13.0,04/10/2022,11.75
Patrick Beverley,14:52,1.0,3.0,33.3,0.0,1.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,-11.0,04/10/2022,12.25
Greg Monroe,18:20,4.0,8.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,9.0,7.0,04/10/2022,26.75
Jaden McDaniels,17:43,3.0,7.0,42.9,1.0,4.0,25.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,8.0,-6.0,04/10/2022,15.5
Jordan McLaughlin,19:01,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,04/10/2022,11.5
Jaylen Nowell,21:14,6.0,12.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,15.0,-2.0,04/10/2022,21.0
Josh Okogie,21:19,5.0,7.0,71.4,0.0,1.0,0.0,3.0,4.0,75.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,13.0,-3.0,04/10/2022,25.75
Leandro Bolmaro,17:54,4.0,9.0,44.4,1.0,1.0,100.0,2.0,2.0,100.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,11.0,15.0,04/10/2022,21.25
Jake Layman,16:36,3.0,3.0,100.0,1.0,1.0,100.0,3.0,4.0,75.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,16.0,04/10/2022,16.25
Nathan Knight,15:57,7.0,12.0,58.3,1.0,3.0,33.3,2.0,3.0,66.7,2.0,6.0,8.0,3.0,0.0,0.0,1.0,4.0,17.0,16.0,04/10/2022,31.5
McKinley Wright IV,7:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,04/10/2022,3.0
