,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Anthony Edwards,40:16,12.0,23.0,52.2,4.0,11.0,36.4,8.0,8.0,100.0,0.0,2.0,2.0,6.0,1.0,2.0,2.0,5.0,36.0,12.0,04/16/2022,54.5
Jarred Vanderbilt,18:31,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,2.0,2.0,-11.0,04/16/2022,10.5
Karl-Anthony Towns,42:54,11.0,18.0,61.1,2.0,5.0,40.0,5.0,5.0,100.0,4.0,9.0,13.0,3.0,0.0,1.0,3.0,3.0,29.0,16.0,04/16/2022,51.25
Patrick Beverley,27:32,4.0,8.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,1.0,1.0,2.0,5.0,10.0,16.0,04/16/2022,30.5
D'Angelo Russell,29:08,2.0,11.0,18.2,1.0,3.0,33.3,5.0,5.0,100.0,0.0,3.0,3.0,9.0,1.0,0.0,2.0,3.0,10.0,12.0,04/16/2022,28.75
Jaden McDaniels,25:25,5.0,6.0,83.3,2.0,3.0,66.7,3.0,4.0,75.0,4.0,3.0,7.0,2.0,1.0,3.0,2.0,5.0,15.0,19.0,04/16/2022,34.75
Malik Beasley,30:09,8.0,14.0,57.1,4.0,10.0,40.0,3.0,4.0,75.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,5.0,23.0,1.0,04/16/2022,35.25
Jordan McLaughlin,9:23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,-2.0,04/16/2022,4.5
Taurean Prince,11:36,2.0,6.0,33.3,1.0,3.0,33.3,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,04/16/2022,7.5
Naz Reid,5:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,-3.0,04/16/2022,1.0
