,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Anthony Edwards,33:53,7.0,16.0,43.8,4.0,10.0,40.0,2.0,2.0,100.0,1.0,5.0,6.0,1.0,1.0,0.0,5.0,4.0,20.0,-16.0,04/19/2022,30.5
Jarred Vanderbilt,9:12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,-7.0,04/19/2022,3.0
Karl-Anthony Towns,27:57,4.0,7.0,57.1,0.0,1.0,0.0,7.0,8.0,87.5,2.0,9.0,11.0,1.0,0.0,2.0,5.0,5.0,15.0,-21.0,04/19/2022,31.75
Patrick Beverley,29:26,1.0,6.0,16.7,0.0,2.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,6.0,-26.0,04/19/2022,16.5
D'Angelo Russell,27:36,3.0,11.0,27.3,2.0,7.0,28.6,3.0,4.0,75.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,3.0,11.0,-26.0,04/19/2022,21.5
Malik Beasley,22:06,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,7.0,-24.0,04/19/2022,10.25
Jaden McDaniels,21:06,1.0,7.0,14.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,-9.0,04/19/2022,9.25
Jordan McLaughlin,17:22,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,-2.0,04/19/2022,15.0
Naz Reid,20:03,2.0,4.0,50.0,2.0,3.0,66.7,6.0,6.0,100.0,1.0,6.0,7.0,0.0,0.0,2.0,2.0,3.0,12.0,-7.0,04/19/2022,24.75
Taurean Prince,17:11,4.0,7.0,57.1,2.0,4.0,50.0,2.0,2.0,100.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,12.0,-11.0,04/19/2022,22.0
Jaylen Nowell,11:56,3.0,10.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,7.0,04/19/2022,9.5
Josh Okogie,2:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04/19/2022,0.0
