,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Anthony Edwards,40:01,6.0,13.0,46.2,4.0,9.0,44.4,3.0,6.0,50.0,0.0,7.0,7.0,2.0,1.0,0.0,2.0,3.0,19.0,-9.0,04/21/2022,33.75
Jarred Vanderbilt,32:03,2.0,8.0,25.0,0.0,0.0,0.0,6.0,8.0,75.0,6.0,7.0,13.0,2.0,3.0,0.0,1.0,5.0,10.0,5.0,04/21/2022,34.75
Karl-Anthony Towns,32:46,3.0,4.0,75.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,4.0,5.0,1.0,0.0,5.0,4.0,5.0,8.0,-4.0,04/21/2022,23.75
Patrick Beverley,33:43,5.0,13.0,38.5,0.0,5.0,0.0,4.0,5.0,80.0,0.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,14.0,0.0,04/21/2022,33.0
D'Angelo Russell,38:38,9.0,21.0,42.9,4.0,8.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,1.0,0.0,3.0,3.0,22.0,4.0,04/21/2022,42.75
Malik Beasley,24:56,4.0,12.0,33.3,2.0,7.0,28.6,1.0,1.0,100.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,11.0,-21.0,04/21/2022,21.25
Jaden McDaniels,21:39,3.0,7.0,42.9,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,8.0,7.0,04/21/2022,15.0
Naz Reid,10:08,1.0,5.0,20.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,5.0,3.0,-9.0,04/21/2022,12.75
Taurean Prince,6:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-18.0,04/21/2022,2.75
Greg Monroe,0:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/21/2022,0.0
