,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Anthony Edwards,34:50,8.0,20.0,40.0,3.0,9.0,33.3,3.0,4.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,22.0,-2.0,04/26/2022,24.25
Jarred Vanderbilt,22:07,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,0.0,1.0,1.0,2.0,1.0,6.0,-10.0,04/26/2022,21.5
Karl-Anthony Towns,34:52,7.0,15.0,46.7,5.0,7.0,71.4,9.0,9.0,100.0,1.0,11.0,12.0,1.0,3.0,2.0,7.0,5.0,28.0,-3.0,04/26/2022,53.5
Patrick Beverley,27:54,3.0,6.0,50.0,1.0,3.0,33.3,2.0,3.0,66.7,2.0,1.0,3.0,6.0,1.0,1.0,5.0,6.0,9.0,1.0,04/26/2022,23.75
D'Angelo Russell,38:56,4.0,10.0,40.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,2.0,2.0,8.0,2.0,0.0,4.0,3.0,12.0,-3.0,04/26/2022,29.5
Jaden McDaniels,17:46,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,13.0,04/26/2022,11.5
Malik Beasley,14:19,3.0,8.0,37.5,1.0,3.0,33.3,1.0,1.0,100.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,8.0,-1.0,04/26/2022,15.0
Naz Reid,13:08,4.0,7.0,57.1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,04/26/2022,14.0
Jordan McLaughlin,17:22,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,04/26/2022,13.25
Taurean Prince,18:46,3.0,8.0,37.5,0.0,3.0,0.0,4.0,4.0,100.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,10.0,-6.0,04/26/2022,17.75
