,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Klay Thompson,39:37,9.0,21.0,42.9,6.0,15.0,40.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,24.0,7.0,12/19/2023,Boston Celtics,41.5,LAC @ DAL
Jonathan Kuminga,33:56,8.0,13.0,61.5,1.0,4.0,25.0,0.0,2.0,0.0,4.0,3.0,7.0,2.0,2.0,0.0,1.0,0.0,17.0,3.0,12/19/2023,Boston Celtics,32.75,LAC @ DAL
Kevon Looney,14:14,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,3.0,-19.0,12/19/2023,Boston Celtics,13.0,LAC @ DAL
Brandin Podziemski,16:15,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,12/19/2023,Boston Celtics,14.75,LAC @ DAL
Stephen Curry,38:18,11.0,21.0,52.4,6.0,11.0,54.5,5.0,5.0,100.0,0.0,3.0,3.0,6.0,0.0,0.0,4.0,5.0,33.0,8.0,12/19/2023,Boston Celtics,46.75,LAC @ DAL
Chris Paul,35:09,4.0,12.0,33.3,1.0,5.0,20.0,0.0,0.0,0.0,1.0,6.0,7.0,12.0,0.0,0.0,0.0,2.0,9.0,9.0,12/19/2023,Boston Celtics,36.25,LAC @ DAL
Moses Moody,16:36,3.0,9.0,33.3,2.0,6.0,33.3,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,12/19/2023,Boston Celtics,11.0,LAC @ DAL
Andrew Wiggins,21:35,2.0,11.0,18.2,0.0,1.0,0.0,2.0,2.0,100.0,5.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,6.0,-10.0,12/19/2023,Boston Celtics,16.25,LAC @ DAL
Dario Saric,14:39,3.0,6.0,50.0,3.0,4.0,75.0,2.0,2.0,100.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,12/19/2023,Boston Celtics,19.5,LAC @ DAL
Trayce Jackson-Davis,28:34,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,1.0,0.0,3.0,1.0,3.0,10.0,25.0,12/19/2023,Boston Celtics,33.25,LAC @ DAL
Cory Joseph,6:07,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,12/19/2023,Boston Celtics,7.25,LAC @ DAL
