,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Klay Thompson,25:24,6.0,11.0,54.5,3.0,8.0,37.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,4.0,15.0,4.0,01/02/2024,Orlando Magic,24.75,DEN @ GSW
Jonathan Kuminga,34:02,7.0,14.0,50.0,1.0,5.0,20.0,4.0,5.0,80.0,2.0,4.0,6.0,4.0,0.0,2.0,1.0,2.0,19.0,10.0,01/02/2024,Orlando Magic,36.5,DEN @ GSW
Trayce Jackson-Davis,23:31,3.0,4.0,75.0,0.0,0.0,0.0,4.0,6.0,66.7,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,10.0,-1.0,01/02/2024,Orlando Magic,22.5,DEN @ GSW
Chris Paul,29:59,3.0,5.0,60.0,3.0,3.0,100.0,3.0,4.0,75.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,12.0,-8.0,01/02/2024,Orlando Magic,21.5,DEN @ GSW
Stephen Curry,35:14,12.0,20.0,60.0,4.0,9.0,44.4,8.0,11.0,72.7,1.0,1.0,2.0,6.0,4.0,1.0,2.0,4.0,36.0,12.0,01/02/2024,Orlando Magic,58.5,DEN @ GSW
Brandin Podziemski,28:27,4.0,7.0,57.1,1.0,3.0,33.3,1.0,4.0,25.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,10.0,4.0,01/02/2024,Orlando Magic,22.5,DEN @ GSW
Gary Payton II,10:32,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,01/02/2024,Orlando Magic,6.5,DEN @ GSW
Andrew Wiggins,21:20,4.0,7.0,57.1,1.0,3.0,33.3,1.0,3.0,33.3,0.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,10.0,-3.0,01/02/2024,Orlando Magic,17.75,DEN @ GSW
Kevon Looney,17:20,1.0,2.0,50.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,4.0,5.0,10.0,01/02/2024,Orlando Magic,14.25,DEN @ GSW
Dario Saric,14:13,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,-8.0,01/02/2024,Orlando Magic,6.25,DEN @ GSW
