AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,0,0,0,0,4,.338,.411,.445,.856,11,7,-0.062, 0.61,0.000,-0.062%,-0.04%, 0.69, -1.3,,,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
3,0,0,0,0,1,3,.279,.353,.450,.803,9,8,-0.042, 0.55,0.000,-0.042%,-0.03%, 0.63, -0.4,0,4,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.273,.330,.523,.853,5,3,0.000, 0.00,0.000,0.000%,0%, 0.00, 0.4,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
2,0,0,0,0,2,2,.216,.293,.531,.824,11,6,-0.024, 0.46,0.000,-0.024%,-0.02%, 0.52, -0.2,2,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
2,0,0,0,0,0,2,.267,.325,.327,.652,9,5,-0.001, 0.01,0.000,-0.001%,0%, 0.01, -0.6,1,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
4,0,0,0,0,1,4,.245,.345,.394,.739,12,8,-0.044, 0.42,0.000,-0.044%,-0.03%, 0.48, -0.9,2,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
2,0,0,0,2,0,4,.245,.352,.434,.786,26,13,0.024, 0.48,0.048,-0.024%, 0.02%, 0.54, -0.1,4,1,CS,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
3,0,1,0,0,2,3,.268,.313,.398,.712,14,8,0.005, 0.75,0.035,-0.030%, 0.00%, 0.85, -0.1,6,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
2,0,0,0,1,1,3,.251,.293,.444,.737,16,8,-0.067, 0.95,0.000,-0.067%,-0.05%, 1.08, -0.5,0,3,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
3,0,0,0,0,1,3,.258,.300,.394,.694,14,10,-0.053, 0.70,0.001,-0.053%,-0.04%, 0.80, -0.2,1,1,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
2,0,0,0,0,1,2,.217,.278,.407,.685,7,6,-0.032, 0.61,0.000,-0.032%,-0.02%, 0.69, -0.3,7,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.000,.000,.000,.000,3,2,-0.001, 0.02,0.000,-0.001%,0%, 0.02, -0.3,4,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
