,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Luis Arraez 1B-2B,5,0,0,0,0,2,5,.333,.405,.435,.841,23,16,-0.067, 0.53,0.000,-0.067%,-0.04%, 0.52, -1.3,5,4,,74° F, Wind 0mph, In Dome.
Carlos Correa SS,4,0,0,0,0,1,4,.274,.345,.448,.793,17,13,-0.003, 0.53,0.040,-0.042%,-0.00%, 0.52, -0.3,2,1,,74° F, Wind 0mph, In Dome.
   Gio Urshela SS,0,0,0,0,0,0,0,.265,.312,.422,.733,,,,,,,,,,0,1,,74° F, Wind 0mph, In Dome.
Byron Buxton DH,4,0,0,0,0,3,4,.216,.291,.535,.826,17,13,-0.067, 0.62,0.000,-0.067%,-0.04%, 0.60, -1.1,,,,74° F, Wind 0mph, In Dome.
Jorge Polanco 2B,3,0,0,0,0,2,3,.242,.351,.429,.780,14,8,-0.052, 0.64,0.000,-0.052%,-0.03%, 0.62, -0.7,3,1,,74° F, Wind 0mph, In Dome.
   Miguel Sano 1B,1,0,0,0,0,0,1,.088,.221,.140,.361,1,1,-0.002, 0.07,0.000,-0.002%,-0.00%, 0.07, -0.2,4,0,,74° F, Wind 0mph, In Dome.
Jose Miranda 3B,4,1,3,1,0,1,4,.281,.321,.478,.799,12,9,0.071, 0.34,0.083,-0.012%, 0.04%, 0.33, 1.1,0,0,HR,74° F, Wind 0mph, In Dome.
Alex Kirilloff RF,4,0,0,0,0,3,4,.257,.298,.371,.669,25,18,-0.056, 0.55,0.000,-0.056%,-0.03%, 0.54, -1.0,1,0,,74° F, Wind 0mph, In Dome.
Kyle Garlick LF,3,2,2,1,1,0,4,.277,.343,.553,.896,10,4,0.032, 0.39,0.052,-0.020%, 0.02%, 0.38, 1.6,2,0,"HR,2B",74° F, Wind 0mph, In Dome.
Nick Gordon CF,3,1,1,1,1,1,4,.255,.302,.389,.691,10,6,0.089, 0.53,0.106,-0.017%, 0.05%, 0.51, 1.1,1,0,2B,74° F, Wind 0mph, In Dome.
Gary Sanchez C,2,0,1,1,0,0,2,.215,.278,.400,.678,10,5,0.085, 1.01,0.097,-0.012%, 0.05%, 0.98, 0.7,5,0,SB,74° F, Wind 0mph, In Dome.
   Caleb Hamilton PH-C,2,0,0,0,0,2,2,.000,.000,.000,.000,10,6,-0.012, 0.25,0.000,-0.012%,-0.01%, 0.24, -0.7,1,0,,74° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,74° F, Wind 0mph, In Dome.
Chris Archer P,,,,,,,,,,,,,,,,,,,,,0,0,,74° F, Wind 0mph, In Dome.
   Jharel Cotton P,,,,,,,,,,,,,,,,,,,,,0,0,,74° F, Wind 0mph, In Dome.
   Yennier Cano P,,,,,,,,,,,,,,,,,,,,,0,1,,74° F, Wind 0mph, In Dome.
   Trevor Megill P,,,,,,,,,,,,,,,,,,,,,0,0,,74° F, Wind 0mph, In Dome.
   Jovani Moran P,,,,,,,,,,,,,,,,,,,,,0,0,,74° F, Wind 0mph, In Dome.
