,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Luis Arraez 1B,3,0,1,0,1,0,4,.343,.418,.443,.861,15,6,0.027, 0.84,0.061,-0.034%, 0.02%, 0.98, 0.1,8,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Carlos Correa SS,4,1,1,0,0,0,4,.279,.355,.443,.797,12,8,-0.107, 1.08,0.041,-0.147%,-0.07%, 1.27, -0.8,1,2,GDP,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Byron Buxton DH,3,1,2,0,1,0,4,.217,.295,.539,.835,12,6,0.057, 1.05,0.091,-0.035%, 0.04%, 1.23, 0.8,,,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Max Kepler RF,4,0,0,0,0,1,4,.248,.351,.401,.752,18,14,-0.136, 1.45,0.000,-0.136%,-0.10%, 1.69, -1.4,1,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Jorge Polanco 2B,2,0,1,0,2,0,4,.243,.348,.425,.773,13,4,0.087, 1.10,0.103,-0.016%, 0.06%, 1.29, 1.0,3,4,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Alex Kirilloff LF,4,0,1,2,0,1,4,.267,.315,.405,.720,18,11,0.029, 2.07,0.180,-0.151%, 0.02%, 2.42, 0.2,2,0,"2B,GDP",83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Jose Miranda 3B,4,0,0,0,0,1,4,.254,.292,.449,.741,17,12,-0.146, 1.35,0.000,-0.146%,-0.10%, 1.58, -1.5,1,3,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Nick Gordon CF,4,0,0,0,0,2,4,.269,.312,.409,.722,18,14,-0.079, 0.77,0.000,-0.079%,-0.06%, 0.90, -0.8,2,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Gary Sanchez C,4,0,1,0,0,0,4,.218,.277,.411,.688,19,11,-0.003, 0.57,0.034,-0.037%,-0.00%, 0.67, -0.2,9,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Devin Smeltzer P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Emilio Pagan P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Tyler Duffey P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Caleb Thielbar P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Griffin Jax P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Jovani Moran P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
