,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Luis Arraez 1B-2B,5,0,1,0,0,0,5,.343,.417,.444,.861,10,7,-0.194, 0.67,0.002,-0.196%,-0.14%, 0.78, -1.9,6,1,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Carlos Correa SS,4,0,1,0,0,1,4,.279,.356,.446,.802,15,11,-0.021, 0.58,0.026,-0.047%,-0.01%, 0.67, -0.5,0,2,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Kyle Garlick LF,1,1,1,1,0,0,1,.279,.337,.535,.872,2,1,0.000, 0.00,0.000,0.000%,0%, 0.00, 1.0,1,0,HR,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Byron Buxton CF,4,0,2,0,0,1,4,.212,.289,.538,.827,17,10,0.086, 0.62,0.116,-0.030%, 0.06%, 0.72, 0.5,0,0,3B,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Gilberto Celestino CF,1,0,0,0,0,0,1,.272,.331,.333,.665,4,3,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.1,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Max Kepler RF,3,0,2,0,1,0,4,.252,.355,.407,.763,22,12,-0.020, 0.65,0.035,-0.055%,-0.01%, 0.75, 0.3,8,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Jorge Polanco 2B-SS,3,0,0,0,1,2,4,.241,.343,.425,.768,22,14,-0.063, 1.08,0.033,-0.096%,-0.04%, 1.25, -1.1,3,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Alex Kirilloff LF-1B,4,0,1,0,0,1,4,.268,.317,.402,.719,12,10,-0.123, 1.21,0.002,-0.126%,-0.09%, 1.40, -1.0,1,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Jose Miranda DH,4,1,1,0,0,1,4,.260,.298,.459,.757,28,18,0.021, 0.43,0.040,-0.020%, 0.01%, 0.50, -0.4,,,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Gio Urshela 3B,4,0,1,1,0,1,4,.261,.306,.407,.713,20,13,0.117, 0.53,0.129,-0.012%, 0.08%, 0.61, 0.5,1,3,2B,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Ryan Jeffers C,4,0,1,0,0,1,4,.214,.291,.375,.666,13,8,0.066, 0.42,0.073,-0.007%, 0.05%, 0.48, 0.1,7,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Sonny Gray P,,,,,,,,,,,,,,,,,,,,,0,2,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Trevor Megill P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Joe Smith P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Jharel Cotton P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Nick Gordon P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
