,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Brandon Nimmo CF,5,0,1,0,0,1,5,.262,.346,.418,.764,11,8,-0.085, 1.52,0.000,-0.085%,-0.05%, 1.41, -0.8,5,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Starling Marte RF,5,0,2,1,0,3,5,.300,.349,.465,.815,19,11,0.126, 1.53,0.183,-0.057%, 0.07%, 1.42, 0.2,2,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Francisco Lindor SS,3,0,1,1,1,1,4,.251,.325,.430,.755,20,10,0.081, 0.54,0.102,-0.021%, 0.04%, 0.50, 0.7,1,2,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Pete Alonso 1B,3,1,1,1,1,0,4,.281,.357,.547,.904,14,7,0.060, 0.96,0.121,-0.061%, 0.03%, 0.89, 0.8,3,1,HR,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Daniel Vogelbach DH,2,0,1,0,2,0,4,.230,.345,.428,.773,19,8,0.073, 0.95,0.100,-0.027%, 0.04%, 0.88, 0.6,,,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Travis Jankowski PR-DH-DH,0,0,0,0,0,0,0,.167,.286,.167,.452,,,,,,,,,,,,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Mark Canha LF,4,0,1,0,0,0,4,.266,.367,.376,.743,22,12,-0.034, 1.27,0.034,-0.068%,-0.02%, 1.17, -0.2,2,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Jeff McNeil 2B,4,0,0,0,0,0,4,.288,.351,.400,.751,16,9,-0.146, 1.34,0.000,-0.146%,-0.08%, 1.25, -1.3,2,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Eduardo Escobar 3B,4,1,1,0,0,3,4,.220,.272,.396,.668,12,11,0.119, 1.12,0.174,-0.055%, 0.07%, 1.04, -0.2,1,0,2B,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Tomás Nido C,3,1,1,0,0,1,4,.218,.262,.251,.513,9,9,0.036, 1.23,0.074,-0.038%, 0.02%, 1.14, -0.2,10,0,"2B,SH",80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Max Scherzer P,,,,,,,,,,,,,,,,,,,,,0,1,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   David Peterson P,,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Seth Lugo P,,,,,,,,,,,,,,,,,,,,,1,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
