,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Simone Fontecchio,32:51,3.0,9.0,33.3,1.0,6.0,16.7,0.0,0.0,0.0,1.0,6.0,7.0,2.0,1.0,0.0,4.0,1.0,7.0,6.0,01/06/2024,Philadelphia 76ers,19.25,PHX @ LAC
Lauri Markkanen,34:59,12.0,19.0,63.2,5.0,9.0,55.6,4.0,5.0,80.0,4.0,9.0,13.0,1.0,0.0,1.0,1.0,2.0,33.0,8.0,01/06/2024,Philadelphia 76ers,54.75,PHX @ LAC
John Collins,27:52,9.0,10.0,90.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,5.0,2.0,0.0,1.0,1.0,1.0,19.0,7.0,01/06/2024,Philadelphia 76ers,29.75,PHX @ LAC
Collin Sexton,27:07,9.0,14.0,64.3,1.0,3.0,33.3,3.0,4.0,75.0,1.0,2.0,3.0,10.0,0.0,0.0,5.0,3.0,22.0,7.0,01/06/2024,Philadelphia 76ers,38.75,PHX @ LAC
Kris Dunn,23:14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,0.0,8.0,01/06/2024,Philadelphia 76ers,13.25,PHX @ LAC
Walker Kessler,19:07,4.0,4.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,10.0,5.0,01/06/2024,Philadelphia 76ers,17.0,PHX @ LAC
Jordan Clarkson,30:39,5.0,14.0,35.7,0.0,6.0,0.0,8.0,9.0,88.9,0.0,5.0,5.0,6.0,1.0,0.0,5.0,0.0,18.0,1.0,01/06/2024,Philadelphia 76ers,32.75,PHX @ LAC
Keyonte George,16:01,2.0,4.0,50.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,6.0,5.0,01/06/2024,Philadelphia 76ers,12.0,PHX @ LAC
Ochai Agbaji,13:01,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,01/06/2024,Philadelphia 76ers,4.75,PHX @ LAC
Kelly Olynyk,15:09,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,3.0,5.0,5.0,01/06/2024,Philadelphia 76ers,11.25,PHX @ LAC
