,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Simone Fontecchio,35:01,6.0,11.0,54.5,3.0,4.0,75.0,1.0,1.0,100.0,2.0,5.0,7.0,4.0,2.0,0.0,0.0,2.0,16.0,13.0,01/03/2024,Detroit Pistons,36.25,OKC @ BKN
Lauri Markkanen,37:48,10.0,18.0,55.6,4.0,8.0,50.0,7.0,8.0,87.5,2.0,5.0,7.0,0.0,0.0,1.0,1.0,1.0,31.0,12.0,01/03/2024,Detroit Pistons,43.25,OKC @ BKN
John Collins,23:31,7.0,13.0,53.8,2.0,6.0,33.3,1.0,2.0,50.0,4.0,0.0,4.0,3.0,0.0,0.0,2.0,3.0,17.0,-12.0,01/03/2024,Detroit Pistons,26.5,OKC @ BKN
Kris Dunn,15:58,2.0,6.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,4.0,-3.0,01/03/2024,Detroit Pistons,19.25,OKC @ BKN
Collin Sexton,30:16,7.0,14.0,50.0,1.0,2.0,50.0,10.0,10.0,100.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,5.0,25.0,2.0,01/03/2024,Detroit Pistons,37.5,OKC @ BKN
Walker Kessler,29:21,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,6.0,0.0,4.0,8.0,15.0,01/03/2024,Detroit Pistons,31.5,OKC @ BKN
Jordan Clarkson,37:58,11.0,20.0,55.0,4.0,5.0,80.0,10.0,11.0,90.9,1.0,5.0,6.0,3.0,1.0,0.0,5.0,1.0,36.0,5.0,01/03/2024,Detroit Pistons,49.5,OKC @ BKN
Keyonte George,22:44,2.0,9.0,22.2,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,4.0,01/03/2024,Detroit Pistons,12.5,OKC @ BKN
Kelly Olynyk,19:43,3.0,5.0,60.0,0.0,1.0,0.0,3.0,3.0,100.0,2.0,3.0,5.0,4.0,1.0,0.0,2.0,3.0,9.0,0.0,01/03/2024,Detroit Pistons,22.25,OKC @ BKN
Ochai Agbaji,12:40,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,-6.0,01/03/2024,Detroit Pistons,11.25,OKC @ BKN
