,0
Anthony Davis,38.75
Austin Reaves,12.333333333333332
Cole Swider,12.7
Damian Jones,7.816666666666667
Dennis Schroder,0.75
Dwayne Bacon,13.5
Jay Huff,13.270833333333332
Juan Toscano-Anderson,11.56081081081081
Kendrick Nunn,22.77325581395349
LeBron James,11.499999999999996
Lonnie Walker IV,21.740384615384617
Matt Ryan,20.892441860465116
Max Christie,15.0
Nate Pierre-Louis,8.5
Patrick Beverley,9.175
Russell Westbrook,4.599999999999998
Scotty Pippen Jr.,11.150000000000002
Shaquille Harrison,6.75
Thomas Bryant,17.833333333333336
Wenyen Gabriel,15.466666666666665
