,0
Andrew Wiggins,20.05
Anthony Lamb,6.7884615384615365
Donte DiVincenzo,5.374999999999993
Draymond Green,18.333333333333332
JaMychal Green,8.828571428571433
James Wiseman,17.574999999999996
Jerome Robinson,7.517857142857143
Jonathan Kuminga,32.724999999999994
Jordan Poole,34.425
Kevon Looney,21.825000000000003
Klay Thompson,26.25
Lester Quinones,1.2500000000000036
Mac McClung,19.0
Moses Moody,6.2928571428571445
Pat Spencer,2.0500000000000043
Patrick Baldwin Jr.,13.9
Quinndary Weatherspoon,4.7785714285714285
Ryan Rollins,3.25
Stephen Curry,34.275
Trevion Williams,12.499999999999998
Ty Jerome,7.0
