,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
OG Anunoby,34:24,5.0,9.0,55.6,1.0,4.0,25.0,0.0,0.0,0.0,2.0,6.0,8.0,2.0,2.0,0.0,1.0,2.0,11.0,35.0,01/03/2024,Chicago Bulls,28.0,OKC @ BKN
Julius Randle,38:36,13.0,23.0,56.5,3.0,7.0,42.9,6.0,7.0,85.7,0.0,6.0,6.0,4.0,2.0,1.0,3.0,3.0,35.0,13.0,01/03/2024,Chicago Bulls,54.5,OKC @ BKN
Isaiah Hartenstein,36:34,4.0,6.0,66.7,0.0,0.0,0.0,2.0,3.0,66.7,7.0,13.0,20.0,1.0,0.0,5.0,2.0,2.0,10.0,32.0,01/03/2024,Chicago Bulls,45.5,OKC @ BKN
Jalen Brunson,38:19,13.0,22.0,59.1,4.0,9.0,44.4,1.0,1.0,100.0,0.0,3.0,3.0,13.0,0.0,0.0,4.0,3.0,31.0,31.0,01/03/2024,Chicago Bulls,54.25,OKC @ BKN
Donte DiVincenzo,25:00,4.0,10.0,40.0,3.0,8.0,37.5,0.0,0.0,0.0,1.0,4.0,5.0,5.0,1.0,0.0,3.0,2.0,11.0,18.0,01/03/2024,Chicago Bulls,26.75,OKC @ BKN
Josh Hart,25:24,1.0,5.0,20.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0,01/03/2024,Chicago Bulls,13.25,OKC @ BKN
Quentin Grimes,18:20,3.0,9.0,33.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,-20.0,01/03/2024,Chicago Bulls,12.25,OKC @ BKN
Miles McBride,9:41,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-15.0,01/03/2024,Chicago Bulls,3.5,OKC @ BKN
Precious Achiuwa,11:26,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,4.0,-16.0,01/03/2024,Chicago Bulls,11.25,OKC @ BKN
Jericho Sims,1:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/03/2024,Chicago Bulls,1.25,OKC @ BKN
Ryan Arcidiacono,1:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/03/2024,Chicago Bulls,0.0,OKC @ BKN
