,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
OG Anunoby,35:01,7.0,12.0,58.3,3.0,6.0,50.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,6.0,17.0,19.0,01/01/2024,Minnesota Timberwolves,31.0,DEN @ GSW
Julius Randle,36:19,14.0,24.0,58.3,2.0,6.0,33.3,9.0,13.0,69.2,3.0,6.0,9.0,0.0,0.0,0.0,6.0,5.0,39.0,2.0,01/01/2024,Minnesota Timberwolves,48.25,DEN @ GSW
Isaiah Hartenstein,39:09,2.0,3.0,66.7,0.0,0.0,0.0,3.0,4.0,75.0,4.0,5.0,9.0,3.0,3.0,3.0,1.0,3.0,7.0,10.0,01/01/2024,Minnesota Timberwolves,34.25,DEN @ GSW
Jalen Brunson,40:40,5.0,23.0,21.7,1.0,9.0,11.1,5.0,5.0,100.0,0.0,4.0,4.0,14.0,1.0,0.0,2.0,4.0,16.0,16.0,01/01/2024,Minnesota Timberwolves,43.5,DEN @ GSW
Donte DiVincenzo,25:37,5.0,11.0,45.5,2.0,6.0,33.3,3.0,4.0,75.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,15.0,15.0,01/01/2024,Minnesota Timberwolves,27.5,DEN @ GSW
Josh Hart,28:49,3.0,7.0,42.9,2.0,3.0,66.7,0.0,0.0,0.0,2.0,9.0,11.0,2.0,0.0,0.0,1.0,2.0,8.0,-12.0,01/01/2024,Minnesota Timberwolves,25.25,DEN @ GSW
Miles McBride,7:20,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,01/01/2024,Minnesota Timberwolves,-0.5,DEN @ GSW
Quentin Grimes,18:14,3.0,4.0,75.0,2.0,3.0,66.7,2.0,2.0,100.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,-6.0,01/01/2024,Minnesota Timberwolves,16.25,DEN @ GSW
Precious Achiuwa,8:34,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,01/01/2024,Minnesota Timberwolves,3.75,DEN @ GSW
Taj Gibson,0:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,01/01/2024,Minnesota Timberwolves,0.0,DEN @ GSW
