,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Dante Exum,11:38,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,-4.0,01/01/2024,Utah Jazz,9.75,DEN @ GSW
Derrick Jones Jr.,24:16,2.0,4.0,50.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,6.0,-18.0,01/01/2024,Utah Jazz,13.25,DEN @ GSW
Dereck Lively II,24:36,5.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,1.0,0.0,1.0,10.0,-3.0,01/01/2024,Utah Jazz,24.5,DEN @ GSW
Kyrie Irving,32:11,6.0,14.0,42.9,2.0,3.0,66.7,0.0,1.0,0.0,1.0,8.0,9.0,4.0,0.0,1.0,1.0,3.0,14.0,-15.0,01/01/2024,Utah Jazz,33.75,DEN @ GSW
Luka Doncic,33:44,6.0,20.0,30.0,3.0,13.0,23.1,4.0,6.0,66.7,0.0,6.0,6.0,14.0,1.0,0.0,4.0,1.0,19.0,-17.0,01/01/2024,Utah Jazz,49.0,DEN @ GSW
Tim Hardaway Jr.,22:42,3.0,9.0,33.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,-16.0,01/01/2024,Utah Jazz,8.0,DEN @ GSW
Josh Green,21:17,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,-21.0,01/01/2024,Utah Jazz,3.0,DEN @ GSW
Dwight Powell,10:04,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,4.0,-13.0,01/01/2024,Utah Jazz,14.5,DEN @ GSW
Grant Williams,18:04,2.0,7.0,28.6,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,-17.0,01/01/2024,Utah Jazz,10.0,DEN @ GSW
Jaden Hardy,21:22,6.0,15.0,40.0,5.0,9.0,55.6,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,17.0,-22.0,01/01/2024,Utah Jazz,23.75,DEN @ GSW
Brandon Williams,6:42,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,-13.0,01/01/2024,Utah Jazz,6.25,DEN @ GSW
Olivier-Maxence Prosper,6:42,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,01/01/2024,Utah Jazz,3.75,DEN @ GSW
Richaun Holmes,6:42,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-13.0,01/01/2024,Utah Jazz,3.25,DEN @ GSW
