,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Derrick Jones Jr.,38:58,6.0,11.0,54.5,2.0,4.0,50.0,5.0,5.0,100.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,19.0,1.0,12/20/2023,LA Clippers,32.75,LAC @ DAL
Grant Williams,31:24,4.0,7.0,57.1,1.0,4.0,25.0,0.0,0.0,0.0,5.0,4.0,9.0,4.0,0.0,1.0,0.0,6.0,9.0,-18.0,12/20/2023,LA Clippers,28.75,LAC @ DAL
Dwight Powell,17:32,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,-17.0,12/20/2023,LA Clippers,5.75,LAC @ DAL
Dante Exum,40:00,6.0,12.0,50.0,1.0,4.0,25.0,3.0,4.0,75.0,1.0,5.0,6.0,1.0,2.0,0.0,0.0,2.0,16.0,-7.0,12/20/2023,LA Clippers,29.5,LAC @ DAL
Luka Doncic,44:22,9.0,25.0,36.0,2.0,11.0,18.2,8.0,14.0,57.1,1.0,8.0,9.0,10.0,1.0,0.0,5.0,1.0,28.0,-4.0,12/20/2023,LA Clippers,54.75,LAC @ DAL
Tim Hardaway Jr.,36:47,8.0,21.0,38.1,3.0,11.0,27.3,2.0,2.0,100.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,21.0,1.0,12/20/2023,LA Clippers,36.25,LAC @ DAL
Olivier-Maxence Prosper,2:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12/20/2023,LA Clippers,2.75,LAC @ DAL
Markieff Morris,4:46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,12/20/2023,LA Clippers,2.5,LAC @ DAL
Jaden Hardy,22:55,5.0,13.0,38.5,5.0,9.0,55.6,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,15.0,1.0,12/20/2023,LA Clippers,23.5,LAC @ DAL
A.J. Lawson,0:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/20/2023,LA Clippers,0.0,LAC @ DAL
