,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Logan Webb, W (9-3)", 6 ,4,2,2,2,5,1,2.83,22,88,54,34,7,13,11,4,2,0,59,,,0.095, 0.53, 0.05%, 0.48, 1.6,65° F, Wind 14mph in unknown direction, Cloudy, No Precipitation.
Jakob Junis, 2 ,5,3,3,0,2,1,3.06,11,34,27,14,4,9,4,5,3,0,,1,1,-0.003, 0.19,-0.00%, 0.17, -2.6,65° F, Wind 14mph in unknown direction, Cloudy, No Precipitation.
Camilo Doval, 1 ,0,0,0,0,2,0,2.95,3,8,8,3,3,2,0,1,0,0,,0,0,0.015, 0.19, 0.01%, 0.17, 0.5,65° F, Wind 14mph in unknown direction, Cloudy, No Precipitation.
