,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Logan Webb, L (9-4)", 6.1,7,4,4,1,5,1,2.91,27,94,59,33,7,19,14,7,3,0,47,,,-0.189, 1.04,-0.07%, 0.67, -0.7,72° F, Wind 1mph in unknown direction, In Dome.
Sam Long, 0.2,1,1,1,0,1,1,3.63,3,13,8,3,2,3,1,1,0,0,,0,0,-0.052, 0.19,-0.02%, 0.12, -0.7,72° F, Wind 1mph in unknown direction, In Dome.
Tyler Rogers, 1 ,0,0,0,0,0,0,4.76,4,15,12,10,0,2,2,2,1,0,,0,0,0.014, 0.32, 0.01%, 0.21, 0.5,72° F, Wind 1mph in unknown direction, In Dome.
