AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
5,1,1,0,0,0,5,.275,.368,.518,.886,18,15,-0.108, 1.14,0.024,-0.132%,-0.03%, 0.46, -0.6,1,1,,73° F, Wind 0mph, In Dome.
4,1,2,2,0,0,4,.263,.310,.454,.764,14,9,0.174, 0.88,0.205,-0.031%, 0.04%, 0.35, 1.7,0,3,HR,73° F, Wind 0mph, In Dome.
4,1,2,1,0,1,4,.252,.344,.475,.819,21,14,0.056, 0.78,0.112,-0.056%, 0.01%, 0.32, 0.7,,,HR,73° F, Wind 0mph, In Dome.
3,0,0,0,1,0,4,.238,.356,.408,.764,14,6,-0.059, 0.70,0.011,-0.070%,-0.01%, 0.28, -0.5,0,1,,73° F, Wind 0mph, In Dome.
4,0,1,0,0,1,4,.233,.292,.367,.659,18,11,-0.104, 1.34,0.017,-0.121%,-0.03%, 0.54, -0.5,4,0,,73° F, Wind 0mph, In Dome.
4,0,2,0,0,1,4,.238,.289,.391,.680,13,9,-0.009, 1.23,0.075,-0.084%,-0.00%, 0.49, 0.1,7,0,2B,73° F, Wind 0mph, In Dome.
4,0,0,0,0,2,4,.223,.311,.399,.709,24,14,-0.038, 1.24,0.049,-0.087%,-0.01%, 0.51, -0.3,2,0,,73° F, Wind 0mph, In Dome.
4,0,0,0,0,2,4,.243,.289,.357,.647,19,12,-0.180, 2.00,0.000,-0.180%,-0.04%, 0.81, -1.1,4,0,,73° F, Wind 0mph, In Dome.
3,0,0,0,0,0,3,.167,.235,.333,.568,6,4,-0.120, 1.39,0.000,-0.120%,-0.03%, 0.56, -1.0,9,0,,73° F, Wind 0mph, In Dome.
1,0,0,0,0,1,1,.150,.209,.350,.559,4,3,-0.068, 2.71,0.000,-0.068%,-0.02%, 1.10, -0.2,,,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,2,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
