AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
3,2,1,1,2,0,5,.280,.372,.534,.906,22,11,0.292, 1.21,0.309,-0.016%, 0.07%, 0.51, 3.1,1,0,SB,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
3,2,2,2,2,1,5,.241,.295,.382,.677,29,16,0.391, 1.31,0.403,-0.012%, 0.10%, 0.55, 2.7,0,0,HR,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
0,0,0,0,0,0,0,.185,.248,.315,.564,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
4,0,1,1,1,1,5,.259,.351,.486,.837,19,10,0.076, 1.08,0.139,-0.063%, 0.02%, 0.46, 0.3,3,0,2B,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
4,0,2,1,1,0,5,.243,.363,.425,.787,14,9,0.076, 0.91,0.123,-0.047%, 0.02%, 0.38, 1.2,0,1,"2B,IW",73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
5,0,0,0,0,0,5,.229,.281,.385,.666,22,10,-0.130, 0.88,0.000,-0.130%,-0.03%, 0.37, -2.2,7,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
5,0,1,0,0,0,5,.264,.312,.459,.770,14,12,-0.078, 0.87,0.026,-0.104%,-0.02%, 0.37, -1.3,0,3,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
5,1,1,0,0,2,5,.182,.229,.424,.653,19,12,-0.108, 1.18,0.034,-0.142%,-0.03%, 0.50, -1.2,,,SB,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
3,1,0,0,1,2,4,.296,.328,.444,.772,19,11,-0.049, 0.93,0.026,-0.075%,-0.01%, 0.39, -0.3,4,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
4,0,0,0,0,3,4,.157,.229,.313,.542,11,10,-0.110, 1.07,0.000,-0.110%,-0.03%, 0.45, -1.2,12,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
