,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Jose Altuve 2B,4,0,0,0,0,0,4,.272,.358,.510,.867,8,6,-0.114, 1.10,0.000,-0.114%,-0.02%, 0.32, -0.9,1,3,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Yuli Gurriel 1B,4,0,2,0,0,0,4,.237,.289,.391,.679,19,11,0.027, 0.69,0.069,-0.042%, 0.01%, 0.20, 0.3,5,0,2·2B,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Yordan Álvarez DH,2,1,1,1,2,0,4,.309,.413,.674,1.087,14,7,0.135, 1.15,0.162,-0.027%, 0.02%, 0.33, 1.1,,,"HR,IW",68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Aledmys Díaz 3B,4,0,0,0,0,0,4,.232,.288,.365,.652,15,11,-0.157, 1.60,0.000,-0.157%,-0.03%, 0.46, -1.2,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Kyle Tucker RF,4,0,0,0,0,0,4,.248,.337,.465,.802,12,9,-0.108, 1.06,0.000,-0.108%,-0.02%, 0.30, -0.9,1,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Chas McCormick LF,4,0,0,0,0,1,4,.229,.316,.417,.733,15,11,-0.120, 1.18,0.000,-0.120%,-0.02%, 0.34, -0.9,2,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Mauricio Dubon SS,4,1,1,0,0,0,4,.211,.248,.310,.558,13,10,-0.026, 0.78,0.033,-0.059%,-0.01%, 0.23, -0.2,1,2,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Jake Meyers CF,3,0,1,1,0,2,3,.233,.286,.356,.641,10,7,0.144, 0.91,0.175,-0.032%, 0.03%, 0.26, 1.2,3,0,3B,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Korey Lee C,3,0,0,0,0,2,3,.190,.227,.286,.513,9,7,-0.143, 1.45,0.000,-0.143%,-0.03%, 0.42, -1.0,11,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Cristian Javier P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
   Seth Martinez P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
   Phil Maton P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
   Ryne Stanek P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
