,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jaden McDaniels,33:18,2.0,8.0,25.0,1.0,5.0,20.0,3.0,4.0,75.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,8.0,-9.0,01/01/2024,New York Knicks,13.25,DEN @ GSW
Karl-Anthony Towns,31:52,10.0,18.0,55.6,3.0,5.0,60.0,6.0,6.0,100.0,1.0,5.0,6.0,3.0,0.0,0.0,3.0,5.0,29.0,5.0,01/01/2024,New York Knicks,41.0,DEN @ GSW
Rudy Gobert,37:48,3.0,8.0,37.5,0.0,0.0,0.0,4.0,6.0,66.7,2.0,13.0,15.0,1.0,0.0,0.0,1.0,2.0,10.0,-11.0,01/01/2024,New York Knicks,29.75,DEN @ GSW
Mike Conley,28:50,2.0,6.0,33.3,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,1.0,5.0,-10.0,01/01/2024,New York Knicks,19.0,DEN @ GSW
Anthony Edwards,37:31,11.0,21.0,52.4,4.0,9.0,44.4,9.0,10.0,90.0,0.0,4.0,4.0,2.0,0.0,2.0,4.0,1.0,35.0,2.0,01/01/2024,New York Knicks,47.0,DEN @ GSW
Naz Reid,19:17,2.0,6.0,33.3,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,-5.0,01/01/2024,New York Knicks,8.0,DEN @ GSW
Nickeil Alexander-Walker,16:45,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,01/01/2024,New York Knicks,6.5,DEN @ GSW
Kyle Anderson,17:23,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,-3.0,01/01/2024,New York Knicks,11.5,DEN @ GSW
Troy Brown Jr.,5:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-15.0,01/01/2024,New York Knicks,0.75,DEN @ GSW
Jordan McLaughlin,11:37,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,9.0,13.0,01/01/2024,New York Knicks,19.25,DEN @ GSW
