,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Steven Kwan LF,3,2,1,0,1,0,4,.279,.362,.360,.722,22,13,0.186, 1.47,0.249,-0.063%, 0.09%, 1.20, 0.7,2,0,"2B,GDP",77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Amed Rosario SS,4,1,1,0,0,1,4,.290,.326,.400,.726,14,10,-0.094, 1.43,0.053,-0.146%,-0.05%, 1.16, -0.4,1,2,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Jose Ramirez 3B,3,1,1,1,1,0,4,.285,.367,.558,.925,10,7,0.106, 1.51,0.135,-0.029%, 0.05%, 1.22, 1.4,0,3,IW,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Josh Naylor DH,2,0,0,2,1,1,4,.271,.326,.495,.822,18,9,0.070, 2.01,0.078,-0.008%, 0.03%, 1.63, 0.1,,,SF,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Andres Gimenez 2B,3,1,2,1,0,1,4,.299,.357,.482,.839,14,10,0.219, 2.01,0.292,-0.073%, 0.11%, 1.63, 0.9,3,2,SH,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Owen Miller 1B,2,0,1,1,1,0,4,.248,.306,.378,.684,12,5,0.143, 1.62,0.181,-0.038%, 0.07%, 1.32, 1.4,8,1,"3B,HBP",77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Nolan Jones RF,2,0,0,0,0,1,2,.304,.448,.522,.970,9,5,-0.100, 1.50,0.000,-0.100%,-0.05%, 1.22, -1.0,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Franmil Reyes PH-RF,1,0,0,0,0,1,1,.215,.259,.359,.618,5,3,-0.078, 3.37,0.000,-0.078%,-0.04%, 2.74, -0.5,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Alex Call RF,1,0,0,0,0,0,1,.000,.167,.000,.167,5,3,-0.014, 0.55,0.000,-0.014%,-0.01%, 0.45, -0.2,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Austin Hedges C,4,0,2,1,0,0,4,.172,.227,.270,.497,13,7,0.011, 1.53,0.100,-0.089%, 0.01%, 1.25, 0.3,9,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Myles Straw CF,3,1,1,0,1,0,4,.211,.306,.263,.569,16,9,-0.062, 1.40,0.089,-0.151%,-0.03%, 1.13, -0.8,3,0,2·GDP,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Zach Plesac P,,,,,,,,,,,,,,,,,,,,,0,1,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Enyel De Los Santos P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Bryan Shaw P,,,,,,,,,,,,,,,,,,,,,1,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Eli Morgan P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Trevor Stephan P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
