AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,2,0,1,1,5,.285,.368,.362,.729,20,10,0.040, 0.54,0.065,-0.025%, 0.02%, 0.53, 0.3,2,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
5,0,0,0,0,3,5,.291,.349,.463,.813,18,14,-0.099, 0.79,0.000,-0.099%,-0.06%, 0.77, -1.4,3,3,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
5,0,2,0,0,1,5,.289,.370,.571,.942,20,13,0.027, 0.71,0.078,-0.051%, 0.02%, 0.69, 0.3,,,2B,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
4,0,1,0,0,1,4,.279,.335,.500,.835,17,11,-0.055, 0.86,0.030,-0.084%,-0.03%, 0.83, -0.6,6,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
3,0,0,0,1,1,4,.220,.265,.369,.634,21,11,-0.020, 0.91,0.056,-0.076%,-0.01%, 0.88, -0.4,4,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
3,0,1,0,1,2,4,.245,.300,.366,.666,17,11,-0.043, 0.97,0.025,-0.068%,-0.03%, 0.94, -0.5,1,2,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
2,0,0,0,1,1,3,.000,.250,.000,.250,14,6,0.002, 0.79,0.031,-0.028%, 0.00%, 0.76, -0.1,2,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
1,0,0,0,0,1,1,.412,.500,.706,1.206,6,3,-0.038, 1.64,0.000,-0.038%,-0.02%, 1.59, -0.5,0,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
3,0,0,0,0,3,3,.174,.270,.267,.537,11,9,-0.109, 1.40,0.000,-0.109%,-0.06%, 1.35, -1.3,8,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
1,0,1,0,0,0,1,.283,.321,.394,.715,3,3,0.035, 0.98,0.035,0.000%, 0.02%, 0.95, 0.3,,,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
0,0,0,0,0,0,0,.157,.217,.261,.478,,,,,,,,,,1,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
4,0,1,0,0,0,4,.213,.273,.236,.510,12,9,-0.071, 1.01,0.022,-0.093%,-0.04%, 0.98, -0.9,0,2,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Left to Right, Sunny, No Precipitation.
