AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,0,0,0,4,4,.252,.304,.393,.697,21,16,-0.044, 0.42,0.000,-0.044%,-0.02%, 0.37, -1.1,3,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
3,0,0,0,0,2,3,.324,.379,.601,.980,18,11,-0.030, 0.38,0.000,-0.030%,-0.02%, 0.33, -0.6,1,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
1,0,1,0,0,0,1,.250,.222,.250,.472,4,2,0.000, 0.00,0.000,0.000%,0%, 0.00, 0.3,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,0,0,0,0,0,2,.316,.389,.453,.842,8,5,-0.040, 0.77,0.000,-0.040%,-0.02%, 0.68, -0.4,2,2,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,0,0,0,0,2,2,.205,.286,.344,.629,9,6,-0.001, 0.02,0.000,-0.001%,-0.00%, 0.02, -0.6,0,1,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,0,0,0,0,2,2,.302,.368,.481,.849,10,6,-0.041, 0.81,0.000,-0.041%,-0.02%, 0.71, -0.4,,,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,0,1,0,0,1,2,.338,.409,.525,.934,9,6,-0.001, 0.01,0.000,-0.001%,0%, 0.01, -0.0,,,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,0,0,1,4,.262,.306,.372,.678,11,8,-0.027, 0.27,0.001,-0.028%,-0.01%, 0.24, -0.5,5,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,0,0,0,0,0,2,.273,.318,.414,.732,5,4,-0.011, 0.20,0.000,-0.011%,-0.01%, 0.17, -0.4,3,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.159,.271,.232,.503,2,1,-0.002, 0.06,0.000,-0.002%,-0.00%, 0.05, -0.5,3,0,GDP,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
3,0,0,0,0,3,3,.225,.299,.372,.671,14,10,-0.023, 0.30,0.000,-0.023%,-0.01%, 0.26, -0.7,5,1,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
3,1,1,0,0,0,3,.202,.255,.289,.544,12,9,0.023, 0.20,0.024,-0.001%, 0.01%, 0.18, -0.0,1,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
3,1,2,2,0,1,3,.200,.222,.360,.582,13,7,0.156, 0.39,0.156,0.000%, 0.08%, 0.34, 2.3,0,0,"HR,2B",80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
