AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
5,1,1,1,0,2,5,.277,.327,.436,.763,15,13,-0.007, 1.06,0.085,-0.092%,-0.00%, 1.03, -0.2,2,0,SB,72° F, Wind 0mph, In Dome.
5,1,1,0,0,2,5,.290,.336,.429,.764,20,14,-0.036, 0.93,0.064,-0.100%,-0.02%, 0.90, 0.1,7,2,2B,72° F, Wind 0mph, In Dome.
4,1,2,2,0,0,4,.313,.380,.500,.880,15,10,0.117, 1.00,0.160,-0.043%, 0.07%, 0.97, 1.4,,,2·2B,72° F, Wind 0mph, In Dome.
3,1,2,1,1,0,4,.315,.393,.455,.847,25,12,0.284, 1.49,0.306,-0.022%, 0.17%, 1.44, 2.3,3,3,"2B,SB",72° F, Wind 0mph, In Dome.
4,0,2,1,0,0,4,.265,.312,.377,.689,20,14,0.031, 1.40,0.094,-0.063%, 0.02%, 1.36, 0.3,3,0,SB,72° F, Wind 0mph, In Dome.
4,0,0,0,0,1,4,.222,.290,.425,.715,15,9,-0.223, 1.73,0.000,-0.223%,-0.13%, 1.68, -1.8,2,1,,72° F, Wind 0mph, In Dome.
4,0,0,0,0,4,4,.240,.317,.397,.713,19,15,-0.158, 1.49,0.000,-0.158%,-0.09%, 1.45, -1.3,5,2,,72° F, Wind 0mph, In Dome.
3,1,1,0,1,0,4,.338,.413,.544,.957,21,11,0.046, 0.85,0.083,-0.037%, 0.03%, 0.82, 0.3,1,0,,72° F, Wind 0mph, In Dome.
3,0,0,0,1,1,4,.205,.287,.329,.615,16,8,-0.048, 1.08,0.029,-0.076%,-0.03%, 1.05, -0.4,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,1,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,1,,72° F, Wind 0mph, In Dome.
