,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
DJ LeMahieu DH,5,2,2,0,0,1,5,.270,.371,.398,.769,26,19,0.304, 2.08,0.406,-0.102%, 0.04%, 0.50, 1.9,,,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Aaron Judge CF,4,0,0,0,1,3,5,.279,.358,.601,.958,23,13,-0.220, 1.42,0.022,-0.241%,-0.03%, 0.34, -1.4,2,0,SB,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Anthony Rizzo 1B,4,1,0,1,1,1,5,.224,.336,.503,.840,15,11,-0.017, 1.62,0.070,-0.087%,-0.00%, 0.39, 0.2,10,1,IW,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Giancarlo Stanton RF,4,1,1,1,0,1,4,.237,.318,.515,.833,22,13,0.190, 1.69,0.298,-0.107%, 0.03%, 0.40, 0.0,1,0,HR,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Gleyber Torres 2B,4,1,1,1,0,2,4,.275,.331,.491,.822,15,9,0.000, 1.30,0.091,-0.090%,0%, 0.31, 0.3,1,4,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Josh Donaldson 3B,3,1,0,0,1,2,4,.225,.310,.395,.706,17,11,-0.027, 1.12,0.038,-0.065%,-0.00%, 0.27, -0.1,0,2,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Isiah Kiner-Falefa SS,4,0,2,3,0,1,4,.271,.318,.323,.642,20,10,0.243, 1.58,0.310,-0.067%, 0.03%, 0.38, 2.4,2,4,2·2B,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Kyle Higashioka C,3,0,0,0,0,2,3,.173,.217,.323,.540,13,9,-0.085, 1.03,0.000,-0.085%,-0.01%, 0.24, -0.8,10,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Matt Carpenter PH,1,0,0,0,0,0,1,.338,.442,.846,1.288,1,1,-0.059, 2.28,0.000,-0.059%,-0.01%, 0.54, -0.2,,,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Jose Trevino C,0,0,0,0,0,0,0,.255,.301,.429,.729,,,,,,,,,,1,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Joey Gallo LF,3,1,0,0,1,3,4,.166,.287,.336,.624,21,12,-0.055, 1.05,0.033,-0.087%,-0.01%, 0.25, -0.1,2,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Luis Severino P,,,,,,,,,,,,,,,,,,,,,1,1,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   JP Sears P,,,,,,,,,,,,,,,,,,,,,0,1,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Albert Abreu P,,,,,,,,,,,,,,,,,,,,,0,1,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Wandy Peralta P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Aroldis Chapman P,,,,,,,,,,,,,,,,,,,,,0,1,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Clay Holmes P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Michael King P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
