AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
3,1,1,0,2,0,5,.268,.370,.398,.768,23,12,0.114, 0.93,0.140,-0.026%, 0.01%, 0.19, 0.3,6,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,2,3,0,1,0,5,.275,.332,.494,.827,17,9,-0.089, 1.48,0.132,-0.221%,-0.01%, 0.31, 0.9,0,1,"2·2B,GDP",86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
3,0,1,2,1,1,4,.227,.338,.510,.849,20,11,0.085, 0.82,0.110,-0.025%, 0.01%, 0.17, 0.9,,,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,0,0,2,4,.237,.319,.508,.826,18,12,-0.026, 0.67,0.014,-0.040%,-0.00%, 0.14, -0.4,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,1,0,0,4,.228,.311,.400,.711,14,10,-0.008, 0.70,0.046,-0.054%,-0.00%, 0.14, -0.6,1,4,GDP,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.237,.356,.357,.713,3,3,-0.017, 0.58,0.000,-0.017%,-0.00%, 0.12, -0.2,1,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
2,0,0,0,1,1,3,.245,.308,.396,.704,19,10,-0.024, 0.42,0.003,-0.027%,-0.00%, 0.09, -0.3,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,0,0,0,1,4,.255,.301,.429,.729,14,9,-0.050, 0.49,0.000,-0.050%,-0.01%, 0.10, -1.2,15,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,0,0,0,4,.267,.316,.313,.629,15,9,-0.003, 0.31,0.017,-0.020%,0%, 0.07, -0.4,1,2,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
3,0,1,0,0,0,3,.168,.288,.341,.629,14,8,-0.024, 0.42,0.004,-0.028%,-0.00%, 0.09, -0.3,3,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
1,0,0,0,0,1,1,.282,.360,.608,.968,6,3,-0.091, 3.52,0.000,-0.091%,-0.01%, 0.73, -0.2,,,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
