AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,3,3,1,1,1,6,.279,.383,.403,.786,28,14,0.136, 0.47,0.136,-0.001%, 0.02%, 0.12, 2.4,2,1,"2B,HBP",80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
3,2,2,1,0,0,4,.284,.364,.618,.983,17,13,0.038, 0.77,0.061,-0.023%, 0.01%, 0.20, 0.9,0,0,HBP,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,1,1,2,0,0,2,.164,.288,.342,.630,9,5,0.001, 0.00,0.001,0.000%,0%, 0.00, 0.8,0,0,HR,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
2,1,0,0,1,0,4,.224,.343,.498,.842,11,4,0.039, 0.87,0.044,-0.005%, 0.01%, 0.23, 0.7,3,1,HBP,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.234,.301,.378,.679,1,1,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.2,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
5,1,0,1,0,1,5,.268,.325,.484,.809,16,11,0.021, 0.74,0.086,-0.065%, 0.00%, 0.20, -1.0,1,1,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
4,1,1,3,1,1,5,.354,.469,.911,1.380,25,12,0.043, 0.64,0.063,-0.021%, 0.01%, 0.17, 1.6,0,0,2B,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
4,1,2,2,1,1,5,.236,.361,.352,.713,20,13,0.104, 0.35,0.105,-0.001%, 0.02%, 0.09, 1.3,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,1,0,0,5,.271,.318,.325,.643,23,14,-0.058, 0.35,0.004,-0.061%,-0.01%, 0.09, -0.7,2,2,"SF,GDP",80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
5,2,3,2,0,1,5,.300,.364,.600,.964,14,11,0.099, 0.48,0.099,0.000%, 0.01%, 0.13, 2.6,2,0,"HR,2·SB",80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
3,1,1,0,2,1,5,.174,.228,.318,.546,24,12,0.039, 0.37,0.057,-0.018%, 0.01%, 0.10, 0.6,16,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
