,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
DJ LeMahieu 1B,4,0,2,0,1,0,5,.281,.386,.408,.793,16,9,0.004, 1.38,0.079,-0.075%, 0.00%, 0.37, -0.2,8,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Aaron Judge CF,5,0,0,0,0,3,5,.292,.374,.648,1.021,20,15,-0.230, 1.73,0.000,-0.230%,-0.04%, 0.46, -1.5,1,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Anthony Rizzo DH,2,1,0,0,1,0,4,.223,.342,.489,.831,11,5,0.066, 0.93,0.102,-0.036%, 0.01%, 0.25, 0.3,,,HBP,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Gleyber Torres 2B,4,1,1,2,0,0,4,.263,.322,.481,.802,13,7,0.223, 1.47,0.303,-0.080%, 0.04%, 0.40, 0.9,1,3,HR,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Matt Carpenter RF,4,0,1,0,0,2,4,.307,.421,.772,1.194,10,9,-0.038, 0.99,0.036,-0.074%,-0.01%, 0.27, -0.2,2,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Josh Donaldson 3B,4,0,1,0,0,1,4,.226,.308,.391,.699,15,8,-0.035, 1.33,0.075,-0.110%,-0.01%, 0.35, -0.1,1,1,2B,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Aaron Hicks LF,4,0,1,0,0,2,4,.243,.366,.349,.715,17,11,-0.068, 1.25,0.043,-0.111%,-0.01%, 0.34, -0.4,2,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Isiah Kiner-Falefa SS,4,0,1,0,0,1,4,.275,.318,.328,.646,13,11,-0.084, 1.63,0.058,-0.141%,-0.01%, 0.44, -0.5,1,0,2B,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Kyle Higashioka C,2,0,0,0,1,0,3,.186,.240,.321,.562,12,7,-0.064, 1.53,0.016,-0.080%,-0.01%, 0.41, -0.5,9,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Jose Trevino PH-C,1,0,0,0,0,1,1,.262,.305,.422,.727,4,3,-0.044, 1.77,0.000,-0.044%,-0.01%, 0.47, -0.2,0,1,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
Domingo German P,,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Lucas Luetge P,,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Jonathan Loaisiga P,,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Clay Holmes P,,,,,,,,,,,,,,,,,,,,,0,1,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
   Wandy Peralta P,,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 9mph out to Leftfield, Overcast, No Precipitation.
