,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Keldon Johnson,33:16,8.0,15.0,53.3,0.0,0.0,0.0,4.0,5.0,80.0,1.0,8.0,9.0,2.0,1.0,0.0,2.0,1.0,20.0,11.0,11/05/2021,Orlando Magic,35.25
Doug McDermott,25:30,3.0,11.0,27.3,1.0,5.0,20.0,3.0,3.0,100.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,10.0,7.0,11/05/2021,Orlando Magic,16.75
Drew Eubanks,21:41,1.0,5.0,20.0,0.0,1.0,0.0,3.0,4.0,75.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,5.0,-3.0,11/05/2021,Orlando Magic,19.0
Derrick White,33:12,4.0,14.0,28.6,2.0,6.0,33.3,2.0,2.0,100.0,1.0,9.0,10.0,4.0,0.0,1.0,2.0,1.0,12.0,10.0,11/05/2021,Orlando Magic,32.5
Dejounte Murray,35:59,9.0,16.0,56.3,1.0,2.0,50.0,1.0,1.0,100.0,0.0,11.0,11.0,7.0,3.0,1.0,3.0,1.0,20.0,14.0,11/05/2021,Orlando Magic,51.25
Thaddeus Young,26:19,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,12.0,16.0,11/05/2021,Orlando Magic,33.0
Lonnie Walker IV,15:56,3.0,6.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,-2.0,11/05/2021,Orlando Magic,9.5
Devin Vassell,25:31,5.0,12.0,41.7,1.0,3.0,33.3,1.0,1.0,100.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,12.0,9.0,11/05/2021,Orlando Magic,24.0
Keita Bates-Diop,14:44,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11/05/2021,Orlando Magic,5.75
Tre Jones,4:39,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11/05/2021,Orlando Magic,2.0
Bryn Forbes,3:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11/05/2021,Orlando Magic,0.0
