,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
Zach Thompson, 6.2,4,1,1,3,2,0,4.09,26,100,61,34,12,15,12,9,4,0,61,,,0.188, 0.91, 0.02%, 0.13, 2.3,72° F, Wind 0mph, In Dome.
Chase De Jong, 1.1,2,0,0,1,0,0,2.12,5,33,20,14,2,4,1,3,1,0,,1,0,0.127, 2.73, 0.01%, 0.38, 0.7,72° F, Wind 0mph, In Dome.
Duane Underwood Jr., 0.2,1,0,0,1,2,0,4.13,4,20,11,8,3,0,1,0,0,0,,0,0,0.026, 3.25, 0.00%, 0.46, 0.1,72° F, Wind 0mph, In Dome.
Manny Banuelos, 1.1,0,0,0,0,0,0,5.25,4,24,15,10,3,2,3,1,0,0,,2,0,0.422, 4.08, 0.04%, 0.57, 1.6,72° F, Wind 0mph, In Dome.
"Wil Crowe, BS (4), L (3-6)", 0 ,2,2,1,0,0,0,3.38,2,5,4,3,1,0,0,2,2,0,,0,0,-0.556, 4.41,-0.05%, 0.62, -2.3,72° F, Wind 0mph, In Dome.
