,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
JT Brubaker, 7 ,3,0,0,2,9,0,4.02,25,99,66,32,15,19,8,6,3,0,78,,,0.485, 1.18, 0.04%, 0.17, 3.5,72° F, Wind 0mph, In Dome.
"Duane Underwood Jr., BS (1)", 1 ,1,2,2,1,1,0,4.24,6,23,10,2,2,6,0,2,2,0,,0,0,-0.534, 3.44,-0.04%, 0.48, -1.5,72° F, Wind 0mph, In Dome.
Yerry De Los Santos, 1 ,0,0,0,0,1,0,2.65,4,11,7,6,0,1,1,1,1,0,,0,0,0.138, 3.05, 0.01%, 0.43, 0.5,72° F, Wind 0mph, In Dome.
"David Bednar, BS (4), L (3-3)", 0.2,3,3,2,1,0,0,2.95,6,15,12,11,0,1,3,2,2,0,,0,0,-0.801, 5.44,-0.07%, 0.77, -2.3,72° F, Wind 0mph, In Dome.
