,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Jose Quintana, L (2-5)", 5 ,7,6,6,2,3,0,3.99,23,103,63,38,8,17,11,7,3,0,30,,,-0.301, 0.81,-0.02%, 0.09, -3.1,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Chris Stratton, 1 ,2,1,1,2,1,0,5.17,6,23,11,5,2,4,1,2,2,0,,0,0,-0.018, 0.25,-0.00%, 0.03, -0.4,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Dillon Peters, 2 ,8,6,6,0,1,2,5.34,13,47,33,20,5,8,4,8,6,0,,0,0,-0.016, 0.02,-0.00%, 0.00, -4.9,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
