,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
12/20/2019,ORL,MIL @ NYK,W,240,118,42,84,50.0,17,36,47.2,17,19,89.5,11,43,54,16,4,11,21,24,15
12/18/2019,GSW,MIL @ NYK,W,240,122,44,97,45.4,9,31,29.0,25,28,89.3,14,43,57,19,6,8,11,22,10
12/16/2019,PHX,MIA @ PHI,W,240,111,40,84,47.6,14,34,41.2,17,20,85.0,9,32,41,21,9,9,20,27,1
12/12/2019,DEN,LAC @ CHI,L,240,99,41,86,47.7,9,30,30.0,8,11,72.7,7,28,35,22,4,7,9,16,-15
12/10/2019,NYK,ATL @ CHI,W,240,115,39,90,43.3,17,41,41.5,20,24,83.3,11,47,58,20,6,7,12,21,28
12/08/2019,OKC,ATL @ CHI,L,240,96,36,100,36.0,9,33,27.3,15,18,83.3,18,33,51,16,7,8,8,26,-12
12/06/2019,LAL,PHX @ HOU,L,240,113,39,86,45.3,10,34,29.4,25,29,86.2,4,30,34,20,9,4,15,25,-23
12/04/2019,SAC,MIA @ BOS,W,240,127,47,84,56.0,16,32,50.0,17,21,81.0,6,37,43,28,6,10,12,18,11
12/03/2019,LAC,MIA @ BOS,L,240,97,39,91,42.9,7,27,25.9,12,15,80.0,12,37,49,20,5,6,13,23,-20
11/29/2019,CHI,BOS @ NYK,W,240,107,38,84,45.2,10,30,33.3,21,28,75.0,8,41,49,20,6,11,13,21,4
11/27/2019,OKC,OKC @ POR,W,240,136,49,94,52.1,14,30,46.7,24,24,100,10,44,54,23,3,1,9,32,17
11/25/2019,CHI,OKC @ POR,W,240,117,46,89,51.7,8,27,29.6,17,22,77.3,13,42,55,23,8,5,15,20,23
11/23/2019,CLE,NOP @ UTA,L,240,104,39,87,44.8,14,40,35.0,12,16,75.0,6,32,38,21,6,6,10,20,-6
11/21/2019,MIL,NOP @ UTA,L,240,129,50,103,48.5,17,39,43.6,12,14,85.7,9,32,41,32,6,11,8,27,-8
11/19/2019,NOP,UTA @ MIN,L,240,104,40,92,43.5,16,29,55.2,8,13,61.5,11,37,48,20,5,4,17,23,-11
11/18/2019,HOU,UTA @ MIN,L,240,108,40,96,41.7,11,36,30.6,17,23,73.9,12,32,44,28,7,5,17,21,-24
11/16/2019,SAS,BOS @ SAC,W,240,121,42,93,45.2,13,39,33.3,24,26,92.3,9,39,48,21,2,4,12,20,5
11/13/2019,TOR,LAC @ HOU,L,240,106,38,96,39.6,17,48,35.4,13,16,81.3,11,32,43,24,3,7,12,16,-8
11/12/2019,SAC,LAC @ HOU,L,240,99,34,77,44.2,8,30,26.7,23,30,76.7,7,33,40,15,4,5,17,19,-8
11/10/2019,ATL,LAC @ HOU,W,265,124,45,104,43.3,12,36,33.3,22,28,78.6,16,45,61,19,10,9,17,22,11
11/08/2019,BKN,BKN @ PHX,L,240,115,40,97,41.2,11,30,36.7,24,25,96.0,13,35,48,11,3,9,11,24,-4
11/07/2019,LAC,BKN @ PHX,L,240,101,39,104,37.5,11,39,28.2,12,16,75.0,17,34,51,18,7,4,14,27,-6
11/04/2019,GSW,ORL @ DAL,L,240,118,47,105,44.8,13,40,32.5,11,14,78.6,16,28,44,16,5,6,6,23,-9
11/02/2019,PHI,CHA @ GSW,L,240,128,45,78,57.7,19,34,55.9,19,25,76.0,4,32,36,21,7,4,18,21,-1
10/30/2019,OKC,MIN @ PHI,W,240,102,34,86,39.5,17,35,48.6,17,24,70.8,9,40,49,19,9,8,19,30,3
10/28/2019,SAS,MIN @ PHI,L,240,110,39,100,39.0,10,33,30.3,22,27,81.5,9,40,49,19,4,8,10,27,-3
10/27/2019,DAL,MIN @ PHI,W,240,121,45,87,51.7,9,22,40.9,22,26,84.6,7,41,48,13,6,4,16,30,2
10/25/2019,SAC,NOP @ HOU,W,240,122,46,85,54.1,11,30,36.7,19,22,86.4,5,35,40,23,8,5,16,23,10
