,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/13/2011,GSW,NYK @ BOS,L,240,86,28,83,33.7,11,26,42.3,19,25,76.0,17,31,48,18,6,1,21,15,-24
04/12/2011,MEM,NYK @ BOS,W,240,102,36,80,45.0,9,18,50.0,21,23,91.3,14,25,39,23,9,7,11,15,13
04/08/2011,LAL,TOR @ MIL,W,240,93,35,77,45.5,6,21,28.6,17,20,85.0,7,34,41,28,8,5,9,18,7
04/07/2011,UTA,DEN @ OKC,W,240,98,36,79,45.6,8,18,44.4,18,19,94.7,13,28,41,24,6,3,10,19,11
04/05/2011,GSW,DEN @ OKC,L,240,87,34,83,41.0,3,21,14.3,16,18,88.9,15,25,40,19,6,4,9,16,-21
04/03/2011,DAL,PHX @ CHI,W,240,104,39,73,53.4,5,15,33.3,21,25,84.0,4,28,32,20,10,0,11,20,8
04/01/2011,OKC,MEM @ NOH,W,240,98,34,79,43.0,5,17,29.4,25,27,92.6,12,23,35,24,6,1,5,16,7
03/30/2011,NOH,MEM @ NOH,L,240,91,37,74,50.0,5,14,35.7,12,16,75.0,11,28,39,18,2,3,12,26,-4
03/28/2011,SAS,CLE @ CHA,W,240,100,34,65,52.3,8,17,47.1,24,31,77.4,7,32,39,15,5,4,15,18,8
03/27/2011,OKC,CLE @ CHA,L,240,90,35,81,43.2,2,12,16.7,18,24,75.0,12,26,38,16,5,5,11,16,-9
03/25/2011,SAS,NYK @ CHA,W,240,98,40,86,46.5,7,26,26.9,11,14,78.6,12,27,39,14,11,1,14,10,2
03/22/2011,WAS,IND @ CHA,W,240,111,40,80,50.0,5,20,25.0,26,31,83.9,15,30,45,26,14,7,21,20,35
03/20/2011,LAL,IND @ CHA,L,240,80,32,83,38.6,6,25,24.0,10,15,66.7,17,28,45,21,7,4,14,11,-4
03/19/2011,PHI,PHI @ POR,W,240,110,37,72,51.4,11,23,47.8,25,29,86.2,8,28,36,29,7,1,11,11,9
03/17/2011,CLE,PHI @ POR,W,240,111,45,83,54.2,11,27,40.7,10,13,76.9,15,30,45,29,8,2,12,19,41
03/15/2011,DAL,OKC @ MIA,W,240,104,40,85,47.1,6,14,42.9,18,23,78.3,15,19,34,19,8,5,7,15,3
03/12/2011,ATL,POR @ ATL,L,240,82,27,77,35.1,7,22,31.8,21,25,84.0,10,24,34,20,7,5,16,14,-9
03/11/2011,CHA,POR @ ATL,L,240,92,37,82,45.1,9,27,33.3,9,16,56.3,10,29,39,23,11,9,15,27,-5
03/08/2011,MIA,DET @ SAS,W,240,105,40,79,50.6,7,17,41.2,18,19,94.7,12,22,34,21,8,3,10,16,9
03/07/2011,ORL,DET @ SAS,W,240,89,35,81,43.2,8,25,32.0,11,17,64.7,8,28,36,21,7,1,9,14,4
03/05/2011,CHA,CHI @ MIA,W,240,93,32,74,43.2,8,21,38.1,21,25,84.0,10,23,33,17,11,6,9,16,24
03/02/2011,SAC,CHA @ DEN,W,240,107,40,87,46.0,6,13,46.2,21,25,84.0,14,24,38,24,11,4,10,20,5
03/01/2011,HOU,CHA @ DEN,L,240,87,32,74,43.2,7,16,43.8,16,20,80.0,9,24,33,20,5,1,16,16,-16
02/27/2011,ATL,CHA @ DEN,L,240,83,32,82,39.0,4,21,19.0,15,21,71.4,14,20,34,14,13,2,15,22,-7
02/25/2011,DEN,CHA @ ORL,W,265,107,40,92,43.5,10,23,43.5,17,21,81.0,8,43,51,20,5,6,11,25,1
02/23/2011,LAL,SAC @ ORL,L,265,101,38,79,48.1,9,24,37.5,16,25,64.0,10,28,38,22,8,3,16,15,-5
02/16/2011,NOH,PHI @ HOU,W,240,103,36,68,52.9,6,19,31.6,25,30,83.3,8,23,31,19,5,7,9,18,7
02/14/2011,MIN,PHI @ HOU,W,240,95,37,84,44.0,8,18,44.4,13,16,81.3,14,27,41,23,11,1,12,23,14
02/13/2011,DET,POR @ DET,W,240,105,35,64,54.7,6,16,37.5,29,30,96.7,4,21,25,25,6,6,14,20,5
02/11/2011,TOR,POR @ DET,W,240,102,38,70,54.3,7,17,41.2,19,25,76.0,9,23,32,23,10,8,16,15,6
02/07/2011,CHI,DET @ CLE,W,240,109,35,68,51.5,2,8,25.0,37,40,92.5,8,23,31,21,8,4,11,15,6
02/05/2011,CLE,IND @ NJN,W,240,111,42,78,53.8,12,19,63.2,15,17,88.2,7,28,35,27,6,2,10,21,6
02/04/2011,IND,IND @ NJN,L,240,87,32,88,36.4,5,20,25.0,18,22,81.8,8,31,39,17,8,8,12,29,-13
02/02/2011,DEN,MIL @ GSW,L,240,90,32,75,42.7,9,17,52.9,17,24,70.8,7,26,33,26,7,8,16,19,-19
02/01/2011,SAS,MIL @ GSW,W,240,99,38,75,50.7,2,13,15.4,21,24,87.5,6,31,37,17,5,1,10,17,13
01/27/2011,BOS,DET @ MIA,L,240,78,33,90,36.7,4,16,25.0,8,13,61.5,19,30,49,16,13,2,17,23,-10
01/24/2011,SAC,DET @ MIA,L,240,81,34,86,39.5,5,15,33.3,8,11,72.7,18,21,39,16,6,6,19,16,-15
01/22/2011,IND,MIL @ CHI,W,240,97,35,83,42.2,10,20,50.0,17,20,85.0,11,28,39,29,8,3,15,15,5
01/20/2011,LAC,SAC @ GSW,W,240,108,44,78,56.4,7,16,43.8,13,19,68.4,8,29,37,21,8,5,9,20,15
01/19/2011,SAC,SAC @ GSW,W,265,94,38,88,43.2,6,16,37.5,12,13,92.3,9,33,42,25,13,6,15,21,4
01/17/2011,MIN,UTA @ WAS,W,240,113,38,84,45.2,6,18,33.3,31,36,86.1,14,28,42,19,9,7,13,23,11
01/15/2011,NJN,UTA @ WAS,W,240,96,36,79,45.6,4,16,25.0,20,25,80.0,17,23,40,21,7,3,11,16,7
01/14/2011,PHX,LAC @ GSW,L,240,111,39,81,48.1,8,17,47.1,25,33,75.8,11,28,39,26,7,2,13,25,-4
01/11/2011,NYK,SAS @ MIN,L,240,86,29,84,34.5,4,18,22.2,24,28,85.7,14,29,43,8,3,7,14,14,-14
01/09/2011,MIA,SAS @ MIN,L,265,100,38,91,41.8,5,24,20.8,19,22,86.4,15,28,43,24,8,3,14,15,-7
01/07/2011,MIN,NOH @ LAL,W,240,108,40,86,46.5,9,23,39.1,19,22,86.4,18,27,45,23,10,4,14,18,10
01/05/2011,HOU,NOH @ LAL,W,240,103,41,85,48.2,7,19,36.8,14,19,73.7,7,27,34,21,10,1,8,21,3
01/04/2011,DAL,NOH @ LAL,L,240,81,33,79,41.8,4,16,25.0,11,17,64.7,14,32,46,17,5,3,9,17,-3
01/02/2011,HOU,SAS @ NYK,W,240,100,38,88,43.2,7,21,33.3,17,19,89.5,15,32,47,29,12,5,13,21,15
12/30/2010,UTA,NJN @ CHI,W,240,100,34,74,45.9,7,17,41.2,25,32,78.1,6,28,34,21,8,4,9,24,11
12/28/2010,DEN,NJN @ CHI,L,240,77,32,80,40.0,6,13,46.2,7,8,87.5,11,27,38,17,9,10,18,20,-18
12/27/2010,UTA,POR @ DEN,W,240,96,33,70,47.1,5,17,29.4,25,30,83.3,10,31,41,20,10,8,16,22,5
12/25/2010,GSW,POR @ DEN,L,240,102,41,97,42.3,5,18,27.8,15,20,75.0,24,29,53,27,7,4,16,20,-7
12/20/2010,MIL,MIA @ PHX,W,240,106,39,78,50.0,8,22,36.4,20,25,80.0,14,29,43,27,5,6,11,18,26
12/18/2010,GSW,MIN @ LAC,W,240,96,38,78,48.7,6,15,40.0,14,22,63.6,11,29,40,24,10,0,14,19,1
12/17/2010,MIN,MIN @ LAC,W,240,107,42,83,50.6,7,21,33.3,16,19,84.2,12,25,37,23,12,11,17,17,5
12/15/2010,DAL,MEM @ HOU,L,240,98,42,85,49.4,3,14,21.4,11,18,61.1,12,25,37,26,5,1,8,17,-5
12/13/2010,MEM,POR @ MEM,L,240,73,29,79,36.7,4,18,22.2,11,18,61.1,15,29,44,18,8,10,18,27,-13
12/12/2010,SAS,POR @ MEM,L,240,78,33,87,37.9,5,15,33.3,7,11,63.6,20,27,47,19,4,6,14,18,-17
12/10/2010,PHX,POR @ PHX,W,240,101,35,71,49.3,5,17,29.4,26,32,81.3,7,29,36,21,8,3,13,17,7
12/09/2010,ORL,POR @ PHX,W,240,97,36,81,44.4,5,15,33.3,20,28,71.4,13,34,47,19,10,1,12,17,14
12/07/2010,PHX,POR @ PHX,W,240,106,33,74,44.6,8,24,33.3,32,33,97.0,5,27,32,24,6,6,12,21,7
12/05/2010,LAC,ATL @ ORL,W,240,100,31,78,39.7,7,13,53.8,31,36,86.1,17,30,47,16,10,1,16,27,9
12/03/2010,WAS,NJN @ CHA,L,240,79,31,93,33.3,6,21,28.6,11,12,91.7,23,28,51,19,9,2,15,19,-4
12/01/2010,BOS,NJN @ CHA,L,240,95,34,74,45.9,7,17,41.2,20,23,87.0,7,21,28,19,7,5,12,26,-4
11/30/2010,PHI,NJN @ CHA,L,240,79,30,81,37.0,5,18,27.8,14,17,82.4,15,30,45,19,7,3,16,17,-9
11/28/2010,NJN,LAL @ MEM,L,240,96,33,78,42.3,7,13,53.8,23,30,76.7,12,24,36,19,8,6,13,23,-2
11/26/2010,NOH,GSW @ MEM,L,240,78,30,76,39.5,6,18,33.3,12,14,85.7,6,21,27,22,9,7,10,24,-19
11/20/2010,UTA,ATL @ NJN,L,240,94,35,92,38.0,4,22,18.2,20,22,90.9,24,24,48,16,11,5,18,20,-9
11/18/2010,DEN,HOU @ TOR,W,240,86,34,85,40.0,7,22,31.8,11,22,50.0,16,32,48,18,6,7,12,20,3
11/16/2010,MEM,TOR @ WAS,W,240,100,40,87,46.0,7,19,36.8,13,15,86.7,12,27,39,25,11,7,14,20,1
11/13/2010,NOH,TOR @ WAS,L,240,87,33,81,40.7,4,17,23.5,17,19,89.5,13,25,38,15,6,7,13,24,-20
11/12/2010,OKC,WAS @ CHI,L,240,108,41,76,53.9,7,15,46.7,19,24,79.2,11,19,30,25,7,4,15,19,-2
11/09/2010,DET,UTA @ MIA,W,240,100,40,80,50.0,6,14,42.9,14,16,87.5,11,34,45,26,10,5,14,18,22
11/07/2010,LAL,UTA @ MIA,L,240,96,32,75,42.7,6,20,30.0,26,31,83.9,6,19,25,21,4,2,14,15,-25
11/06/2010,TOR,UTA @ MIA,W,240,97,34,75,45.3,4,16,25.0,25,28,89.3,14,29,43,19,10,5,18,27,13
11/04/2010,OKC,CLE @ WAS,L,265,106,43,92,46.7,4,16,25.0,16,20,80.0,15,23,38,27,8,2,11,19,-1
11/02/2010,MIL,CHA @ NJN,W,240,90,38,80,47.5,7,24,29.2,7,9,77.8,10,29,39,21,10,8,13,24,14
11/01/2010,CHI,CHA @ NJN,L,240,98,33,80,41.3,0,14,0.0,32,41,78.0,16,19,35,15,9,2,10,27,-12
10/30/2010,NYK,CHA @ NJN,W,240,100,37,76,48.7,6,13,46.2,20,30,66.7,9,32,41,22,7,7,15,22,5
10/27/2010,LAC,ORL @ MIA,W,240,98,36,88,40.9,8,20,40.0,18,23,78.3,21,30,51,17,9,6,14,23,10
