,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Ziaire Williams,29:52,3.0,8.0,37.5,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,7.0,-15.0,05/07/2022,12.75
Jaren Jackson Jr.,28:41,4.0,13.0,30.8,4.0,8.0,50.0,3.0,4.0,75.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,15.0,-14.0,05/07/2022,28.75
Xavier Tillman Sr.,21:32,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,-12.0,05/07/2022,11.5
Desmond Bane,29:41,5.0,10.0,50.0,4.0,7.0,57.1,2.0,3.0,66.7,1.0,3.0,4.0,2.0,0.0,1.0,1.0,4.0,16.0,-15.0,05/07/2022,27.5
Ja Morant,36:10,13.0,21.0,61.9,4.0,7.0,57.1,4.0,5.0,80.0,1.0,2.0,3.0,7.0,3.0,0.0,2.0,1.0,34.0,-6.0,05/07/2022,55.25
De'Anthony Melton,27:29,5.0,14.0,35.7,1.0,8.0,12.5,1.0,1.0,100.0,2.0,2.0,4.0,3.0,0.0,0.0,3.0,1.0,12.0,-16.0,05/07/2022,20.5
Brandon Clarke,16:35,1.0,4.0,25.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,-24.0,05/07/2022,8.5
Kyle Anderson,16:14,4.0,6.0,66.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,9.0,-3.0,05/07/2022,17.5
Tyus Jones,13:23,0.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,-16.0,05/07/2022,5.75
John Konchar,9:10,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,05/07/2022,3.25
Steven Adams,5:37,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,-7.0,05/07/2022,8.5
Jarrett Culver,5:37,2.0,2.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-7.0,05/07/2022,6.25
