,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Dillon Brooks,2:52,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,05/03/2022,2.0
Jaren Jackson Jr.,28:36,3.0,14.0,21.4,2.0,7.0,28.6,4.0,4.0,100.0,2.0,6.0,8.0,1.0,0.0,2.0,1.0,6.0,12.0,4.0,05/03/2022,28.0
Xavier Tillman Sr.,13:05,3.0,4.0,75.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,4.0,6.0,1.0,3.0,0.0,1.0,1.0,7.0,13.0,05/03/2022,21.5
Desmond Bane,32:14,2.0,7.0,28.6,1.0,4.0,25.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,5.0,11.0,05/03/2022,12.0
Ja Morant,40:35,15.0,31.0,48.4,5.0,12.0,41.7,12.0,13.0,92.3,2.0,6.0,8.0,8.0,3.0,0.0,2.0,2.0,47.0,13.0,05/03/2022,76.5
De'Anthony Melton,25:58,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,3.0,5.0,8.0,2.0,2.0,3.0,4.0,2.0,3.0,-2.0,05/03/2022,24.5
Brandon Clarke,27:25,4.0,4.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,3.0,4.0,0.0,1.0,1.0,3.0,4.0,10.0,-17.0,05/03/2022,17.5
Ziaire Williams,28:03,5.0,9.0,55.6,4.0,8.0,50.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,14.0,8.0,05/03/2022,23.75
Kyle Anderson,16:09,2.0,7.0,28.6,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,-4.0,05/03/2022,11.0
Tyus Jones,20:43,1.0,7.0,14.3,0.0,5.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,-3.0,05/03/2022,12.5
John Konchar,4:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,05/03/2022,1.5
