,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Dillon Brooks,35:43,3.0,18.0,16.7,1.0,10.0,10.0,1.0,2.0,50.0,1.0,3.0,4.0,4.0,1.0,0.0,2.0,1.0,8.0,8.0,04/26/2022,20.5
Jaren Jackson Jr.,17:47,4.0,9.0,44.4,1.0,3.0,33.3,3.0,5.0,60.0,4.0,1.0,5.0,1.0,0.0,2.0,2.0,6.0,12.0,-2.0,04/26/2022,23.25
Xavier Tillman Sr.,15:54,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,-6.0,04/26/2022,5.25
Desmond Bane,44:34,9.0,20.0,45.0,3.0,8.0,37.5,4.0,4.0,100.0,0.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,25.0,3.0,04/26/2022,42.0
Ja Morant,44:32,9.0,22.0,40.9,1.0,4.0,25.0,11.0,17.0,64.7,2.0,11.0,13.0,9.0,3.0,0.0,5.0,3.0,30.0,6.0,04/26/2022,63.75
Brandon Clarke,36:49,9.0,14.0,64.3,0.0,0.0,0.0,3.0,7.0,42.9,9.0,6.0,15.0,3.0,0.0,1.0,1.0,2.0,21.0,0.0,04/26/2022,45.75
Ziaire Williams,4:07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/26/2022,0.0
Kyle Anderson,17:32,3.0,3.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,4.0,5.0,0.0,2.0,1.0,0.0,2.0,8.0,-6.0,04/26/2022,20.25
Tyus Jones,20:16,1.0,3.0,33.3,1.0,3.0,33.3,2.0,2.0,100.0,0.0,3.0,3.0,5.0,2.0,0.0,3.0,2.0,5.0,12.0,04/26/2022,19.25
John Konchar,2:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,04/26/2022,2.75
