,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
RJ Barrett,32:44,5.0,12.0,41.7,2.0,5.0,40.0,2.0,3.0,66.7,0.0,7.0,7.0,3.0,1.0,0.0,3.0,3.0,14.0,-2.0,01/03/2024,Memphis Grizzlies,28.75,OKC @ BKN
Pascal Siakam,29:49,9.0,14.0,64.3,1.0,2.0,50.0,5.0,6.0,83.3,1.0,6.0,7.0,0.0,1.0,0.0,3.0,5.0,24.0,-1.0,01/03/2024,Memphis Grizzlies,33.75,OKC @ BKN
Jakob Poeltl,33:24,2.0,7.0,28.6,0.0,0.0,0.0,3.0,4.0,75.0,3.0,5.0,8.0,2.0,1.0,5.0,1.0,3.0,7.0,-9.0,01/03/2024,Memphis Grizzlies,31.5,OKC @ BKN
Scottie Barnes,39:51,7.0,14.0,50.0,2.0,5.0,40.0,4.0,4.0,100.0,0.0,2.0,2.0,8.0,1.0,0.0,1.0,2.0,20.0,2.0,01/03/2024,Memphis Grizzlies,37.0,OKC @ BKN
Immanuel Quickley,32:45,8.0,18.0,44.4,5.0,8.0,62.5,5.0,6.0,83.3,0.0,3.0,3.0,5.0,0.0,1.0,1.0,3.0,26.0,9.0,01/03/2024,Memphis Grizzlies,41.25,OKC @ BKN
Gary Trent Jr.,21:28,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,2.0,01/03/2024,Memphis Grizzlies,7.75,OKC @ BKN
Dennis Schroder,29:26,6.0,11.0,54.5,1.0,3.0,33.3,3.0,4.0,75.0,0.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,16.0,5.0,01/03/2024,Memphis Grizzlies,32.75,OKC @ BKN
Jontay Porter,7:12,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,01/03/2024,Memphis Grizzlies,3.75,OKC @ BKN
Chris Boucher,13:21,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,4.0,10.0,01/03/2024,Memphis Grizzlies,16.5,OKC @ BKN
