,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
RJ Barrett,36:10,13.0,20.0,65.0,5.0,8.0,62.5,6.0,8.0,75.0,0.0,6.0,6.0,6.0,1.0,0.0,0.0,3.0,37.0,26.0,01/07/2024,Golden State Warriors,58.0,PHX @ LAC
Pascal Siakam,30:10,7.0,11.0,63.6,2.0,3.0,66.7,0.0,0.0,0.0,1.0,5.0,6.0,6.0,0.0,2.0,1.0,0.0,16.0,5.0,01/07/2024,Golden State Warriors,37.0,PHX @ LAC
Jakob Poeltl,30:52,6.0,8.0,75.0,0.0,0.0,0.0,2.0,5.0,40.0,3.0,8.0,11.0,5.0,0.0,0.0,2.0,3.0,14.0,21.0,01/07/2024,Golden State Warriors,34.25,PHX @ LAC
Scottie Barnes,23:40,3.0,11.0,27.3,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,6.0,3.0,01/07/2024,Golden State Warriors,16.0,PHX @ LAC
Immanuel Quickley,26:03,4.0,10.0,40.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,4.0,5.0,10.0,1.0,0.0,0.0,0.0,9.0,4.0,01/07/2024,Golden State Warriors,32.75,PHX @ LAC
Dennis Schroder,27:48,6.0,10.0,60.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,5.0,13.0,14.0,01/07/2024,Golden State Warriors,23.25,PHX @ LAC
Gary Trent Jr.,26:24,6.0,11.0,54.5,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,14.0,10.0,01/07/2024,Golden State Warriors,23.75,PHX @ LAC
Jontay Porter,11:39,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,-10.0,01/07/2024,Golden State Warriors,10.0,PHX @ LAC
Chris Boucher,16:04,7.0,7.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,2.0,7.0,9.0,1.0,1.0,1.0,0.0,0.0,17.0,17.0,01/07/2024,Golden State Warriors,35.25,PHX @ LAC
Garrett Temple,3:44,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-5.0,01/07/2024,Golden State Warriors,1.5,PHX @ LAC
Thaddeus Young,3:44,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-5.0,01/07/2024,Golden State Warriors,3.0,PHX @ LAC
Jalen McDaniels,3:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,01/07/2024,Golden State Warriors,1.5,PHX @ LAC
