,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jaylen Brown,41:17,10.0,22.0,45.5,1.0,4.0,25.0,7.0,8.0,87.5,3.0,5.0,8.0,7.0,0.0,1.0,4.0,2.0,28.0,-3.0,12/19/2023,Golden State Warriors,49.0,LAC @ DAL
Jayson Tatum,40:57,5.0,17.0,29.4,2.0,9.0,22.2,3.0,3.0,100.0,3.0,5.0,8.0,7.0,2.0,0.0,0.0,0.0,15.0,-9.0,12/19/2023,Golden State Warriors,40.5,LAC @ DAL
Al Horford,38:24,4.0,14.0,28.6,3.0,10.0,30.0,2.0,2.0,100.0,2.0,10.0,12.0,6.0,0.0,1.0,2.0,1.0,13.0,-8.0,12/19/2023,Golden State Warriors,39.5,LAC @ DAL
Derrick White,40:12,11.0,24.0,45.8,7.0,18.0,38.9,1.0,2.0,50.0,2.0,5.0,7.0,3.0,0.0,3.0,0.0,2.0,30.0,-1.0,12/19/2023,Golden State Warriors,52.75,LAC @ DAL
Jrue Holiday,35:40,5.0,12.0,41.7,1.0,5.0,20.0,2.0,2.0,100.0,1.0,6.0,7.0,1.0,2.0,0.0,1.0,5.0,13.0,-14.0,12/19/2023,Golden State Warriors,27.25,LAC @ DAL
Sam Hauser,20:38,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,12/19/2023,Golden State Warriors,5.25,LAC @ DAL
Oshae Brissett,5:27,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,12/19/2023,Golden State Warriors,8.0,LAC @ DAL
Payton Pritchard,19:20,4.0,6.0,66.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,11.0,-10.0,12/19/2023,Golden State Warriors,15.0,LAC @ DAL
Svi Mykhailiuk,2:19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12/19/2023,Golden State Warriors,0.0,LAC @ DAL
Neemias Queta,20:46,5.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,12/19/2023,Golden State Warriors,26.0,LAC @ DAL
