,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jaylen Brown,35:45,13.0,20.0,65.0,1.0,4.0,25.0,4.0,8.0,50.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,31.0,7.0,01/06/2024,Indiana Pacers,38.5,PHX @ LAC
Jayson Tatum,37:36,14.0,23.0,60.9,8.0,13.0,61.5,2.0,4.0,50.0,1.0,12.0,13.0,6.0,1.0,0.0,4.0,4.0,38.0,19.0,01/06/2024,Indiana Pacers,67.25,PHX @ LAC
Kristaps Porzingis,6:14,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,01/06/2024,Indiana Pacers,9.75,PHX @ LAC
Derrick White,24:11,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,4.0,5.0,7.0,20.0,01/06/2024,Indiana Pacers,16.75,PHX @ LAC
Jrue Holiday,36:44,3.0,9.0,33.3,1.0,5.0,20.0,1.0,2.0,50.0,1.0,5.0,6.0,5.0,1.0,0.0,2.0,2.0,8.0,6.0,01/06/2024,Indiana Pacers,24.5,PHX @ LAC
Al Horford,29:35,4.0,8.0,50.0,2.0,5.0,40.0,0.0,2.0,0.0,1.0,6.0,7.0,8.0,1.0,2.0,2.0,1.0,10.0,10.0,01/06/2024,Indiana Pacers,36.75,PHX @ LAC
Sam Hauser,16:27,2.0,6.0,33.3,1.0,5.0,20.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,2.0,01/06/2024,Indiana Pacers,11.5,PHX @ LAC
Oshae Brissett,19:47,3.0,9.0,33.3,1.0,3.0,33.3,1.0,1.0,100.0,5.0,3.0,8.0,0.0,0.0,1.0,0.0,3.0,8.0,4.0,01/06/2024,Indiana Pacers,20.5,PHX @ LAC
Payton Pritchard,15:29,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,10.0,01/06/2024,Indiana Pacers,10.0,PHX @ LAC
Luke Kornet,16:01,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,4.0,3.0,01/06/2024,Indiana Pacers,15.0,PHX @ LAC
Dalano Banton,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/06/2024,Indiana Pacers,0.0,PHX @ LAC
Svi Mykhailiuk,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/06/2024,Indiana Pacers,0.0,PHX @ LAC
