AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,0,0,0,0,4,.254,.319,.372,.691,10,8,-0.054, 0.55,0.000,-0.054%,-0.04%, 0.63, -0.7,1,3,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
3,0,0,0,0,1,3,.255,.297,.466,.763,12,10,-0.060, 0.79,0.000,-0.060%,-0.04%, 0.91, -0.6,1,0,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
1,1,1,1,0,0,1,.173,.253,.321,.574,1,1,0.006, 0.04,0.006,0.000%, 0.00%, 0.05, 1.0,1,0,HR,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
4,0,0,0,0,3,4,.335,.420,.602,1.021,18,12,-0.044, 0.43,0.000,-0.044%,-0.03%, 0.50, -0.7,10,0,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
4,0,0,0,0,2,4,.242,.323,.423,.746,18,13,-0.048, 0.47,0.000,-0.048%,-0.03%, 0.55, -0.6,3,4,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
4,1,3,0,0,0,4,.260,.321,.409,.730,11,8,0.078, 0.58,0.084,-0.006%, 0.05%, 0.67, 0.6,3,1,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
4,1,1,0,0,1,4,.216,.301,.373,.674,14,9,-0.030, 1.00,0.028,-0.058%,-0.02%, 1.16, -0.1,,,2B,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
3,2,2,3,0,1,3,.196,.256,.308,.565,8,6,0.185, 1.11,0.210,-0.025%, 0.13%, 1.28, 2.2,1,0,HR,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
3,1,1,1,0,1,3,.183,.230,.261,.490,10,9,0.113, 0.95,0.143,-0.030%, 0.08%, 1.10, 0.6,0,4,2B,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
3,0,1,1,0,0,3,.181,.276,.232,.508,15,11,0.068, 0.67,0.089,-0.020%, 0.05%, 0.77, 0.5,7,0,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,99° F, Wind 8mph out to Leftfield, Sunny, No Precipitation.
