,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Tommy Edman SS,5,0,0,0,0,3,5,.256,.322,.371,.693,21,13,-0.094, 0.66,0.000,-0.094%,-0.06%, 0.64, -1.5,1,2,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Dylan Carlson CF,4,0,1,1,0,1,5,.259,.329,.422,.751,21,13,0.072, 0.53,0.117,-0.045%, 0.04%, 0.51, 0.5,5,0,"2B,CS,HBP",73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Tyler O'Neill LF,4,1,0,0,1,2,5,.228,.293,.345,.638,23,13,-0.040, 0.58,0.009,-0.049%,-0.02%, 0.56, -0.8,1,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Albert Pujols 1B,4,1,3,3,0,0,4,.241,.321,.420,.741,9,5,0.272, 0.86,0.276,-0.004%, 0.16%, 0.83, 3.3,5,0,"HR,2B",73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Brendan Donovan 3B,3,1,2,0,1,1,4,.281,.396,.377,.772,18,11,-0.089, 0.71,0.006,-0.095%,-0.05%, 0.69, -0.5,2,3,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Corey Dickerson DH,4,0,1,0,0,1,4,.213,.268,.323,.591,19,15,-0.062, 0.69,0.004,-0.066%,-0.04%, 0.67, -0.2,,,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Lars Nootbaar RF,4,0,2,1,0,0,4,.208,.296,.376,.672,14,12,0.067, 0.49,0.096,-0.029%, 0.04%, 0.48, 1.1,2,1,2B,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Nolan Gorman 2B,4,2,2,1,0,1,4,.229,.303,.430,.733,15,10,0.148, 0.76,0.162,-0.015%, 0.08%, 0.74, -0.5,0,0,"HR,SB",73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Andrew Knizner C,4,1,2,0,0,1,4,.206,.296,.261,.556,15,9,0.009, 0.64,0.051,-0.042%, 0.01%, 0.61, -0.1,11,0,2B,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Adam Wainwright P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
   Giovanny Gallegos P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
   Ryan Helsley P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
