,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Kevin Newman 2B,3,0,0,0,1,1,5,.267,.321,.360,.681,20,11,-0.050, 1.37,0.055,-0.105%,-0.00%, 0.19, -0.3,3,4,"SB,HBP",72° F, Wind 0mph, In Dome.
Ke'Bryan Hayes 3B,3,0,1,0,2,1,5,.251,.328,.360,.688,27,15,0.020, 1.76,0.093,-0.073%, 0.00%, 0.24, 0.5,0,6,3B,72° F, Wind 0mph, In Dome.
Michael Chavis 1B,4,0,0,0,0,2,4,.232,.274,.415,.689,17,11,-0.179, 1.52,0.000,-0.179%,-0.01%, 0.21, -1.4,11,1,,72° F, Wind 0mph, In Dome.
   Josh VanMeter PH-1B,1,0,0,0,0,0,1,.191,.257,.313,.570,5,2,-0.164, 6.09,0.000,-0.164%,-0.01%, 0.85, -0.6,3,0,,72° F, Wind 0mph, In Dome.
Yoshi Tsutsugo DH,5,2,1,0,0,3,5,.182,.271,.252,.523,26,20,-0.197, 1.93,0.031,-0.229%,-0.02%, 0.27, -1.1,,,,72° F, Wind 0mph, In Dome.
Diego Castillo RF,4,0,1,0,0,1,4,.209,.249,.382,.631,19,12,0.282, 1.20,0.331,-0.050%, 0.02%, 0.17, 1.1,2,0,2B,72° F, Wind 0mph, In Dome.
   Jack Suwinski PR-LF,1,0,0,0,0,0,1,.198,.288,.428,.716,3,3,-0.018, 3.94,0.000,-0.018%,-0.00%, 0.55, -0.2,1,0,,72° F, Wind 0mph, In Dome.
Ben Gamel LF-RF,4,0,1,1,0,2,5,.249,.337,.387,.724,23,14,0.073, 2.33,0.210,-0.137%, 0.01%, 0.33, 0.2,2,0,"2B,HBP",72° F, Wind 0mph, In Dome.
Jake Marisnick CF,4,0,1,0,1,1,5,.222,.269,.365,.634,13,7,-0.127, 1.90,0.089,-0.216%,-0.01%, 0.27, -0.6,1,0,IW,72° F, Wind 0mph, In Dome.
Oneil Cruz SS,4,0,1,0,1,3,5,.212,.253,.435,.688,16,11,-0.154, 2.29,0.230,-0.385%,-0.01%, 0.32, -1.1,1,5,2·CS,72° F, Wind 0mph, In Dome.
Jason Delay C,2,0,0,0,0,1,2,.292,.320,.417,.737,10,8,-0.047, 0.93,0.000,-0.047%,-0.00%, 0.13, -0.4,2,0,,72° F, Wind 0mph, In Dome.
   Daniel Vogelbach PH,1,0,0,0,0,1,1,.232,.336,.443,.779,5,3,-0.113, 3.02,0.000,-0.113%,-0.01%, 0.42, -0.7,,,,72° F, Wind 0mph, In Dome.
   Michael Perez C,1,0,0,0,1,0,2,.150,.209,.318,.526,8,4,-0.033, 1.89,0.031,-0.064%,-0.00%, 0.26, -0.3,3,2,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Zach Thompson P,,,,,,,,,,,,,,,,,,,,,1,0,,72° F, Wind 0mph, In Dome.
   Chase De Jong P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Duane Underwood Jr. P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Manny Banuelos P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Wil Crowe P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
