,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Josh VanMeter 2B,3,0,0,0,0,0,3,.192,.259,.315,.574,10,7,-0.097, 0.97,0.000,-0.097%,-0.01%, 0.14, -0.9,1,3,GDP,72° F, Wind 0mph, In Dome.
   Kevin Newman PH-2B,2,0,0,0,0,1,2,.278,.316,.375,.691,6,6,-0.184, 3.45,0.000,-0.184%,-0.02%, 0.48, -1.2,0,0,,72° F, Wind 0mph, In Dome.
Daniel Vogelbach DH,4,1,0,1,1,2,5,.233,.337,.445,.782,18,12,0.135, 2.34,0.190,-0.055%, 0.01%, 0.33, -0.1,,,,72° F, Wind 0mph, In Dome.
Ke'Bryan Hayes 3B,4,0,1,1,1,0,5,.250,.324,.354,.678,23,14,0.269, 2.01,0.323,-0.054%, 0.02%, 0.28, 0.5,2,3,,72° F, Wind 0mph, In Dome.
Yoshi Tsutsugo 1B,3,0,0,0,0,1,3,.181,.273,.254,.527,13,9,-0.055, 0.72,0.000,-0.055%,-0.01%, 0.10, -0.5,5,0,,72° F, Wind 0mph, In Dome.
   Michael Chavis 1B,1,0,1,1,0,0,1,.236,.278,.422,.700,6,4,0.377, 5.45,0.377,0.000%, 0.03%, 0.77, 1.5,3,0,2B,72° F, Wind 0mph, In Dome.
Oneil Cruz SS,3,1,0,0,1,1,4,.210,.244,.444,.689,13,7,-0.047, 1.35,0.082,-0.130%,-0.00%, 0.19, -0.2,2,4,SB,72° F, Wind 0mph, In Dome.
Ben Gamel RF,3,0,1,1,1,2,4,.249,.335,.385,.720,21,13,-0.185, 1.74,0.048,-0.232%,-0.02%, 0.25, -0.8,1,0,,72° F, Wind 0mph, In Dome.
Jack Suwinski LF,2,1,0,0,2,0,4,.199,.289,.430,.719,18,8,-0.163, 1.69,0.050,-0.213%,-0.01%, 0.24, -0.7,1,0,CS,72° F, Wind 0mph, In Dome.
Michael Perez C,1,0,0,0,1,0,2,.151,.204,.321,.524,15,8,0.028, 0.73,0.040,-0.012%, 0.00%, 0.10, 0.3,9,0,,72° F, Wind 0mph, In Dome.
   Diego Castillo PH,1,0,0,0,0,0,1,.208,.249,.380,.629,2,2,-0.029, 1.19,0.000,-0.029%,-0.00%, 0.17, -0.3,,,,72° F, Wind 0mph, In Dome.
   Jason Delay C,1,1,1,0,0,0,1,.318,.348,.455,.802,4,4,0.051, 3.94,0.051,0.000%, 0.00%, 0.56, 0.4,3,0,,72° F, Wind 0mph, In Dome.
Jake Marisnick CF,4,0,2,0,0,2,4,.220,.258,.373,.631,10,9,0.113, 2.00,0.176,-0.062%, 0.01%, 0.28, 0.5,2,1,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
JT Brubaker P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Duane Underwood Jr. P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Yerry De Los Santos P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   David Bednar P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
